title,stock,price
Jobe Aero E-Duna SUP Board 11.6 Package,Call Us For A Leadtime,2.0
Jobe Aero Supersized SUP Board 15.0,Call Us For A Leadtime,1.0
Venture Prospector 165 Trilite Canoe,Call Us For A Leadtime,1.0
Venture Prospector 155 Trilite Canoe,Call Us For A Leadtime,1.0
Venture Ranger 162 Trilite Canoe,Call Us For A Leadtime,1.0
Verano California Duo Inflatable Kayak,Contact Us,1.0
Venture Ranger 149 Trilite Canoe,Call Us For A Leadtime,1.0
Venture Prospector 165 Corelite Canoe,Call Us For A Leadtime,1.0
Hou 16 Canoe,Call Us For A Leadtime,1.0
Venture Prospector 155 Corelite Canoe,Call Us For A Leadtime,1.0
Hou Prospector Canoe,Call Us For A Leadtime,1.0
Venture Ranger 162 Corelite Canoe,Call Us For A Leadtime,1.0
Hou 15 Canoe,Call Us For A Leadtime,1.0
Hou 14 Canoe,Some Colours/Sizes In Stock,1.0
Pyranha Fusion II Crossover Kayak (Stout 2 Outfitting),Some Colours/Sizes In Stock,1.0
Venture Ranger 149 Corelite Canoe,Some Colours/Sizes In Stock,1.0
Hou 13 Canoe,Call Us For A Leadtime,1.0
Verano Cayman Duo Inflatable Kayak,Contact Us,949.98
Venture Islay 12 Touring Kayak (Fit4 Sport Outfitting),Call Us For A Leadtime,895.0
Jobe Aero Neva SUP Board 12.6 Package,In Stock,849.98
Dagger Axis E 10.5 Kayak,Call Us For A Leadtime,849.0
Wilderness Systems Tarpon 120 Sit on Top Kayak,Some Colours/Sizes In Stock,829.0
Pyranha Fusion II Crossover Kayak (Stout 1 Outfitting),Some Colours/Sizes In Stock,820.0
Wave Sport Vista Tandem Kayak,Call Us For A Leadtime,800.0
Verano Canyon Duo Inflatable Kayak,In Stock,799.98
Wave Sport Ethos Crossover Kayak - Whiteout,Some Colours/Sizes In Stock,779.0
Dagger Katana Kayak - Action Spec,Some Colours/Sizes In Stock,778.99
Jobe Aero Loa SUP Board 11.6 Package,In Stock,769.98
Jobe Aero Duna SUP Board 11.6 Package,In Stock,769.98
Wilderness Systems Tarpon 100 Sit on Top Kayak,Some Colours/Sizes In Stock,759.0
Dagger Axiom Kayak - Action Spec,Some Colours/Sizes In Stock,649.16
Perception Expression 11 Kayak.,Call Us For A Leadtime,729.0
Wave Sport Diesel Kayak - Whiteout,Some Colours/Sizes In Stock,729.0
Jobe Aero Yarra SUP Board 10.6 Package Teal,In Stock,699.0
Jobe Aero Yarra SUP Board 10.6 Package Red,In Stock,699.0
Palm Atom Whitewater Drysuit,Some Colours/Sizes In Stock,675.0
Islander Paradise-2 Sit on Top Kayak,Contact Us,658.99
Perception Prodigy 10 Kayak,Call Us For A Leadtime,650.0
Islander Bolero Kayak,Some Colours/Sizes In Stock,565.83
Wave Sport Gemini Sit on Top Kayak,Call Us For A Leadtime,629.0
Perception Triumph 13 SOT Kayak,Call Us For A Leadtime,524.17
Kayacat Puma,In Stock,708.33
Pyranha Rebel Connect Outfitting,Call Us For A Leadtime,520.83
Wave Sport D Series Kayak - Club Spec,Contact Us,560.0
Wave Sport Gemini Rental SOT,Call Us For A Leadtime,560.0
Perception Sundance 9.5,Call Us For A Leadtime,550.0
Jobe Aero Leona SUP Board 10.6 Package,Call Us For A Leadtime,549.98
Pyranha Fusion Sit on Top Kayak,Call Us For A Leadtime,499.16
Islander Calypso Sport Sit on Top Kayak,Some Colours/Sizes In Stock,529.0
Wave Sport Scooter Sit on Top Kayak - Whiteout,Call Us For A Leadtime,510.0
Dagger Dynamo Kayak - Action Spec,Call Us For A Leadtime,508.99
Jobe Aero Mira SUP Board 10.0 Package,Call Us For A Leadtime,499.98
Wave Sport Scooter Sit on Top Kayak - Rental,Contact Us,460.0
Jobe Aero Yama SUP Board 8.6 Package,Call Us For A Leadtime,449.99
Pyranha Surf Jet 2.0,In Stock,399.0
Palm Atom Bib,Some Colours/Sizes In Stock,237.5
Peak UK Storm Pants x3,Call Us For A Leadtime,216.66
Peak UK Explorer Bib (Salopettes),Some Colours/Sizes In Stock,216.66
Palm Chinook Women's Jacket,Call Us For A Leadtime,220.0
Select X.One Paddle - Straight Shaft,Some Colours/Sizes In Stock,209.0
Palm Terek Touring Cag,Some Colours/Sizes In Stock,199.99
Kokatat Hydrus 3L Tempest Pants,Some Colours/Sizes In Stock,166.65
Kokatat Hydrus3L Tempest Pants - Womens Fit,Call Us For A Leadtime,166.65
Palm Atom Pants,Some Colours/Sizes In Stock,195.0
Palm Atom Pants - Womens Fit,Some Colours/Sizes In Stock,195.0
Werner Nantahala Canoe Paddle.,Contact Us,158.32
Aqua Bound Manta Ray Hybrid 2pc Posi Lok,In Stock,154.99
Aqua Bound Sting Ray Hybrid 2pc Posi Lok,In Stock,154.99
Peak UK Storm Pants x2.5,Call Us For A Leadtime,150.0
Peak UK River Wrap PFD,Some Colours/Sizes In Stock,145.83
NRS Women's Riptide Splash Jacket,Some Colours/Sizes In Stock,133.29
Palm Mistral Cag,Call Us For A Leadtime,139.99
Werner Tybee FG Paddle,Contact Us,116.65
Jobe SUP Pump 12V,Call Us For A Leadtime,134.99
Jobe Fibreglass 3-Piece SUP Paddle,In Stock,134.99
NRS Stratos Paddling Jacket,Some Colours/Sizes In Stock,124.95
Grey Owl Hammerhead Canoe Paddle,In Stock,134.94
Watershed Aleutian Deck Bag,Call Us For A Leadtime,116.65
Peak UK Ocean Wrap PFD,Some Colours/Sizes In Stock,129.16
Werner Rio Paddle,Contact Us,120.82
Peak UK River Guide Whitewater Buoyancy Aid,Some Colours/Sizes In Stock,124.16
Werner Luna Canoe Paddle,In Stock,116.65
Palm Peyto Buoyancy Aid - Womens - 2021,Call Us For A Leadtime,124.99
Palm Peyto Buoyancy Aid - 2021,Call Us For A Leadtime,124.99
Palm Vantage Touring Cag,Some Colours/Sizes In Stock,124.99
Palm Vantage Touring Cag - Womens Fit,Some Colours/Sizes In Stock,124.99
Peak UK Semi Pants,Call Us For A Leadtime,112.5
Palm Vertigo Semi-Dry Cag,Some Colours/Sizes In Stock,115.0
Palm FX Buoyancy Aid,Some Colours/Sizes In Stock,115.0
Peak UK Explorer Zip PFD,Some Colours/Sizes In Stock,112.5
NRS Ninja Buoyancy Aid,Contact Us,104.12
NRS Quest Adjustable SUP Paddle,In Stock,104.12
Astral Hiyak Water Boots,In Stock,97.5
Astral Rassler 2.0 Boots,In Stock,97.5
Palm Drift-Pro 2-Piece Paddle,Call Us For A Leadtime,100.0
Ainsworth ABS Ocean Two Piece Glass Straight Shaft P...,Some Colours/Sizes In Stock,87.49
Palm Maverick G1 (2 Piece) Paddle,In Stock,87.5
Palm Hydro Buoyancy Aid,Some Colours/Sizes In Stock,94.99
Yak Chinook Dry Trousers,Some Colours/Sizes In Stock,89.16
Palm Ace Buoyancy Aid,Some Colours/Sizes In Stock,90.0
Palm Vector Recreational Cag,Some Colours/Sizes In Stock,90.0
Palm Vector Recreational Cag - Women's Fit,Call Us For A Leadtime,90.0
Palm Quantum Longjohn Wetsuit,Some Colours/Sizes In Stock,90.0
Palm Quantum Longjohn Wetsuit (Womens),Some Colours/Sizes In Stock,90.0
Grey Owl Voyageur Canoe Paddle,In Stock,89.94
Palm Rocket (Kids) Cag,Some Colours/Sizes In Stock,85.0
TrueFit Spraydeck,Call Us For A Leadtime,85.0
Palm Drift-Lite Paddle,Call Us For A Leadtime,85.0
NRS Ion Buoyancy Aid,Some Colours/Sizes In Stock,79.12
NRS Women's Siren PFD,Some Colours/Sizes In Stock,79.12
Grey Owl Beavertail Canoe Paddle,In Stock,84.95
NRS Hydroskin 0.5 Long Sleeved Shirt - Womens Fit,Contact Us,79.12
Palm Meander Buoyancy Aid - Women's Fit,Pre-order Now,79.99
Palm Meander Buoyancy Aid - 2021,Pre-order Now,79.99
Yak Xipe PFD,Some Colours/Sizes In Stock,75.83
Astral Brewer 2.0 Mens Water Shoe,In Stock,72.5
Astral Brewess 2.0 Womens Water Shoe,In Stock,72.5
Streamlyte Kidstix Paddle,Call Us For A Leadtime,66.66
Palm Horizon Shorts - 2021,Call Us For A Leadtime,75.0
Palm Centre Zip Buoyancy Aid,Some Colours/Sizes In Stock,75.0
Palm Horizon Shorts (Women's Fit),Call Us For A Leadtime,75.0
Perception Hi-Life Paddle & Clip,Call Us For A Leadtime,75.0
Palm Sport Deck,Some Colours/Sizes In Stock,75.0
Peak UK Sproglet Lifejacket,In Stock,72.0
Peak UK Sprog Lifejacket,In Stock,72.0
Palm Nova Boot 2019,In Stock,74.95
Palm Descender Shoes,Contact Us,64.99
Grey Owl Scout Canoe Paddle,Some Colours/Sizes In Stock,64.94
Peak UK Standard Deck,Some Colours/Sizes In Stock,58.33
Playboater Rec Neoprene Spraydeck,Some Colours/Sizes In Stock,56.65
Palm Quantum Longjohn Wetsuit (Kids),In Stock,60.0
Palm Zambezi Utility Belt,In Stock,60.0
Palm Universal Buoyancy Aid,Call Us For A Leadtime,60.0
Jobe Freedom Stick 3pc Lime SUP Paddle,In Stock,59.99
Ainsworth C100 Un-Cut Canoe Paddle,In Stock,59.94
Palm Quantum Womens Neoprene Pants,Call Us For A Leadtime,57.0
Grey Owl Tenderfoot Canoe Paddle,In Stock,56.94
Palm React Towline - 3m,Call Us For A Leadtime,55.0
Palm Coniston Nylon Spraydeck,In Stock,54.0
Crewsaver Pet Float PFD,Some Colours/Sizes In Stock,52.0
Palm Shoot Boots,Some Colours/Sizes In Stock,49.99
Palm Quest Buoyancy Aid,Some Colours/Sizes In Stock,49.99
Grey Owl Paddle Bag Canoe Paddle Bag,In Stock,49.94
TNP Asymmetric 2 Piece Paddle,Some Colours/Sizes In Stock,41.65
Palm Quest Buoyancy Aid - Kids,In Stock,46.0
Palm Lightning 18m Green Throwline,In Stock,45.0
Palm Colt Paddle,Some Colours/Sizes In Stock,45.0
Palm Rock Shoes,Some Colours/Sizes In Stock,45.0
TrueFit Cockpit Cover,Call Us For A Leadtime,45.0
NRS Men's H2Core Lightweight Shirt,Some Colours/Sizes In Stock,43.29
Yak Kallista PFD,Some Colours/Sizes In Stock,44.0
NRS Paddle Wetshoe Fleece Lined Neoprene Boot,Some Colours/Sizes In Stock,45.79
Pyranha Surf Jet 2.0 Stout Backstrap,In Stock,43.2
Peak UK Neoskin Pants,Some Colours/Sizes In Stock,41.66
Peak UK Neoskin Ladies Pants,Call Us For A Leadtime,41.66
NRS Cockpit Cover,Call Us For A Leadtime,41.62
Palm Current Mitts,Call Us For A Leadtime,42.0
Jobe Discover Sneaker Midnight Blue,Some Colours/Sizes In Stock,39.98
Pyranha Surf Jet 2.0 Deck Pod,Contact Us,39.95
Typhoon Surfmaster Neoprene Wetsuit Boot,Some Colours/Sizes In Stock,39.95
Grey Owl Owlet Canoe Paddle,In Stock,39.95
Typhoon 80L Walrus Kit Bag,In Stock,35.79
Peak UK Neoskin Ladies Strides,Some Colours/Sizes In Stock,37.5
Peak UK Neoskin Strides,Some Colours/Sizes In Stock,37.5
Palm Ullswater Nylon Spraydeck,Some Colours/Sizes In Stock,37.99
Palm Nylon Cockpit Cover,Some Colours/Sizes In Stock,37.99
Palm Throttle Gloves,Some Colours/Sizes In Stock,37.0
Palm Hook Gloves,Some Colours/Sizes In Stock,36.0
Peak Kidz Longjohn Wetsuit,Call Us For A Leadtime,39.0
Palm Stomp Socks,Call Us For A Leadtime,34.99
TNP Canoe Paddle,Some Colours/Sizes In Stock,29.15
Pyranha Surf Jet 2.0 Thigh Straps,In Stock,29.94
Palm Talon Mitts,Some Colours/Sizes In Stock,28.99
Lifesystems Waterproof First Aid Kit,In Stock,24.99
Crewsaver Granite Water Shoe,Some Colours/Sizes In Stock,28.0
Sandiline Low Sand Shoes,In Stock,23.33
Palm Grab Gloves,Call Us For A Leadtime,27.0
Peak UK Kidz Thermal Rashy,Some Colours/Sizes In Stock,30.0
HF Weasel 18m Throwline,Some Colours/Sizes In Stock,24.99
Palm Index Sock,In Stock,25.0
Jobe SUP Coiled Leash,In Stock,24.98
Peak UK Neoprene Gloves,In Stock,21.66
Yak Open Palm Mitt,Some Colours/Sizes In Stock,22.0
Overboard Multipurpose Phone Case,Call Us For A Leadtime,18.32
NRS Bungee Paddle Leash,Call Us For A Leadtime,17.94
Palm Classic Drybag,In Stock,16.0
Whetman Anaconda 3m Towline,Call Us For A Leadtime,16.0
Pyranha Surf Jet 2.0 Deck Line Kit,In Stock,14.94
Overboard Multipurpose Case,In Stock,13.32
NRS SUP Board Fin,Contact Us,14.12
Palm Ultralite Dry Bag,In Stock,12.0
CKS Nylon Paddle Pogies,Some Colours/Sizes In Stock,9.99
Pyranha Surf Jet 2.0 Paddle Park,Call Us For A Leadtime,5.82
NRS Fox 40 Emergency Whistle,Call Us For A Leadtime,5.79
Gift Voucher for Canoeists,In Stock,5.0
Gift Voucher for Stand Up Paddleboarders,In Stock,5.0
