name,cottage_id,cottage_image,bedrooms,sleeps,rating,price
Lovely cottage to let with pool in Dordogne, AD007590,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007590/index.htm,Bedrooms 3, Sleeps 7,7,£550 to £1500 pw
Cottage for holiday let Marennes, PM003806,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM003806/index.htm,Bedrooms 2, Sleeps 4,4,£546 to £1204 pw
Traditional stone barn to let in Trebons, MH003951,https://www.holidayfrancedirect.co.uk/holiday-rentals/MH003951/index.htm,Bedrooms 1, Sleeps 2,2,£500 pw
Honeysuckle holiday gite in Cotes d'Armor, BN003895_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN003895_B/index.htm,Bedrooms 1, Sleeps 2,9.6/10,£345 to £365 pw
"Luxury farmhouse and pool to let, Normandy", NM006457,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM006457/index.htm,Bedrooms 5, Sleeps 14,9.8/10,£850 to £3395 pw
Holiday gite with pool in the Loire Valley, VC004437,https://www.holidayfrancedirect.co.uk/holiday-rentals/VC004437/index.htm,Bedrooms 1, Sleeps 6,10/10,£310 to £450 pw
Holiday cottage rental in Brittany, BN000920_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN000920_C/index.htm,Bedrooms 5, Sleeps 13,9.8/10,£1300 to £2150 pw
La Pressoire holiday let near Baud Brittany, BM001973_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM001973_A/index.htm,Bedrooms 5, Sleeps 10,9.2/10,£1395 pw
Spacious cottage for rental in Brittany, BM003353,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM003353/index.htm,Bedrooms 2, Sleeps 5,9.4/10,£325 to £625 pw
Large Gite & Shared Pool in Poitou Charentes, PS005209,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS005209/index.htm,Bedrooms 3, Sleeps 8,8,£700 to £1050 pw
"Holiday gite for 2 in rural & pool, Normandy", NM005324,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM005324/index.htm,Bedrooms 1, Sleeps 2,10/10,£350 to £475 pw
Pretty rural gite & pool to let in Normandy, NM006620,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM006620/index.htm,Bedrooms 1, Sleeps 3,10/10,£350 to £495 pw
"Stunning sea view house to let, Brittany", BM007321,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM007321/index.htm,Bedrooms 4, Sleeps 8,8,£830 to £1620 pw
"Gite with pool and fishing lake, Charente", PC005441,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC005441/index.htm,Bedrooms 2, Sleeps 4,10/10,£1000 pw
Holiday gite in Brittany with private pool, BM007491,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM007491/index.htm,Bedrooms 4, Sleeps 7,7,£1400 to £1800 pw
Barn for holiday rental in Midi Pyrenees, MH005192,https://www.holidayfrancedirect.co.uk/holiday-rentals/MH005192/index.htm,Bedrooms 1, Sleeps 2,9.5/10,£500 pw
Holiday let & pool Loire Valley, VI004218_D,https://www.holidayfrancedirect.co.uk/holiday-rentals/VI004218_D/index.htm,Bedrooms 2, Sleeps 3,3,£395 to £745 pw
"Delightful 2 bedroom gite, Charente Maritime", PM005589,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM005589/index.htm,Bedrooms 2, Sleeps 5,8.8/10,£200 to £650 pw
Millhouse for holiday rentals near Falaise, NO001378_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/NO001378_A/index.htm,Bedrooms 6, Sleeps 10,10,£700 to £950 pw
Farmhouse holiday rental Charente, PC004053,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC004053/index.htm,Bedrooms 3, Sleeps 6,9.4/10,£590 to £645 pw
"Gîte Rose, Gites du Parc, Vendee", LV002900_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV002900_C/index.htm,Bedrooms 2, Sleeps 4,9.7/10,€510 to €810 pw
"Lovely farmhouse to let in Mantilly, Orne", NO007695,https://www.holidayfrancedirect.co.uk/holiday-rentals/NO007695/index.htm,Bedrooms 3, Sleeps 6,6,£640 pw
Holiday gite in rural Normandy Calvados, NC005901,https://www.holidayfrancedirect.co.uk/holiday-rentals/NC005901/index.htm,Bedrooms 3, Sleeps 6,10/10,£770 pw
Rural Gite for 7 to let in Charente Maritime, PM007310,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM007310/index.htm,Bedrooms 3, Sleeps 7,7,£695 to £1045 pw
Lovely farmhouse with a pool to let in Matha, PM007654,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM007654/index.htm,Bedrooms 4, Sleeps 8,8,£1100 to £2000 pw
Holiday cottage with private pool in Brittany, BN007520,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN007520/index.htm,Bedrooms 4, Sleeps 7,7,£500 to £800 pw
"House to let with private pool, Aquitaine", AP007188,https://www.holidayfrancedirect.co.uk/holiday-rentals/AP007188/index.htm,Bedrooms 2, Sleeps 4,10/10,£650 to £1100 pw
Spacious holiday gite in rural Aquitaine, AP006896,https://www.holidayfrancedirect.co.uk/holiday-rentals/AP006896/index.htm,Bedrooms 4, Sleeps 10,10,£644 to £1260 pw
"Tranquil countryside gite to let, Normandy", NM007665,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM007665/index.htm,Bedrooms 1, Sleeps 2,2,£379 pw
Luxury holiday apartment in Lagrasse, RA006782,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA006782/index.htm,Bedrooms 2, Sleeps 5,5,£429 to £1233 pw
"Property to let, private heated pool, Loire V", VE004172,https://www.holidayfrancedirect.co.uk/holiday-rentals/VE004172/index.htm,Bedrooms 5, Sleeps 8,9.2/10,£1175 to £1540 pw
"Large gite to let in rural Normandy, Manche", NM005907,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM005907/index.htm,Bedrooms 2, Sleeps 4,9.7/10,£360 pw
Unique holiday gite in the Dordogne, AD006178,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006178/index.htm,Bedrooms 3, Sleeps 6,6,£445 to £1080 pw
"House for holiday lets, St Fraigne Charente", PC002603,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC002603/index.htm,Bedrooms 3, Sleeps 7,9.3/10,£455 to £595 pw
The Farmhouse for holidays in Brittany, BN001361_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN001361_A/index.htm,Bedrooms 14, Sleeps 35,35,€1540 to €1715 pw
"Holiday rental, sandy beach 120m, Brittany", BM007364_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM007364_C/index.htm,Bedrooms 7, Sleeps 16,16,£440 to £1380 pw
Holiday let with private pool in Dordogne, AD004832,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD004832/index.htm,Bedrooms 3, Sleeps 7,7,£915 to £1395 pw
"Rural Gite in Vendee, heated pool for rental", LV005671,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV005671/index.htm,Bedrooms 2, Sleeps 4,10/10,£475 to £665 pw
"Modern holiday gite with pool, near Monpazier", AT006120,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT006120/index.htm,Bedrooms 2, Sleeps 4,10/10,£400 to £600 pw
Stylish rural gite to let in Poitou Charentes, PM006368,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM006368/index.htm,Bedrooms 2, Sleeps 4,9/10,£1300 to £1600 pw
Holiday house for rental with pool rural Lot, AT003156,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT003156/index.htm,Bedrooms 4, Sleeps 8,9.3/10,£760 to £1880 pw
Cottage for holiday rental Charente with pool, PC003112,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC003112/index.htm,Bedrooms 1, Sleeps 2,9.8/10,£330 to £400 pw
A Holiday cottage to rent Jugon les Lacs, BN007357,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN007357/index.htm,Bedrooms 2, Sleeps 4,4,£400 to £675 pw
Lovely converted barn to let in Charente, PC006886,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006886/index.htm,Bedrooms 3, Sleeps 6,6,£450 to £850 pw
Holiday gites with pool for rental Dordogne, AD000161_F,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD000161_F/index.htm,Bedrooms 2, Sleeps 6,6,£420 to £940 pw
"Stone Cottage with Shared Pool, Cotes d'Armor", BN003487_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN003487_A/index.htm,Bedrooms 2, Sleeps 6,10/10,£350 to £750 pw
Cottage for holiday let Charente Maritime, PM003419,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM003419/index.htm,Bedrooms 4, Sleeps 8,10/10,£686 to £1680 pw
Holiday cottage and pool to rent Brittany, BM002351_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM002351_B/index.htm,Bedrooms 2, Sleeps 5,9.7/10,£480 to £1310 pw
"Lovely gite with shared pool, Saint Severin", PC005705,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC005705/index.htm,Bedrooms 3, Sleeps 6,6,£395 to £710 pw
"Holiday gite, private pool, Dordogne", AD007697,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007697/index.htm,Bedrooms 2, Sleeps 4,4,£550 to £880 pw
"Cottage for rent, tranquil location Brittany", BF002893,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF002893/index.htm,Bedrooms 1, Sleeps 2,10/10,£199 to £299 pw
Luxury self catering gites rural nr Pontrieux, BN003129_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN003129_B/index.htm,Bedrooms 1, Sleeps 2,10/10,£396 to £693 pw
Gite for 2 with private pool in Deux Sevres, PS006689,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS006689/index.htm,Bedrooms 1, Sleeps 2,10/10,£475 to £580 pw
Cottage to let in tranquil rural Brittany, BI006329,https://www.holidayfrancedirect.co.uk/holiday-rentals/BI006329/index.htm,Bedrooms 2, Sleeps 4,9.8/10,£534 to £634 pw
Lovely gite to let with a pool in the Vendee, LV007718_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV007718_A/index.htm,Bedrooms 2, Sleeps 4,4,€390 to €741 pw
"Holiday rental, quiet setting Benodet 6km", BF000361_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF000361_A/index.htm,Bedrooms 2, Sleeps 5,9.3/10,£395 to £595 pw
Holiday cottage to rent near beach Brittany, BM000798,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM000798/index.htm,Bedrooms 3, Sleeps 6,9.1/10,£300 to £800 pw
Small holiday cottage with pool nr St Tropez, CV005057,https://www.holidayfrancedirect.co.uk/holiday-rentals/CV005057/index.htm,Bedrooms 2, Sleeps 4,9.4/10,£1250 to £2000 pw
Holiday gite rental nr Bricquebec Manche, NM002658_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM002658_B/index.htm,Bedrooms 2, Sleeps 4,4,£650 to £795 pw
"Farmhouse to let with private pool, Aquitaine", AD007398,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007398/index.htm,Bedrooms 4, Sleeps 8,8,£650 to £1225 pw
"Lovely cottage with stunning views, Charente", PC006352,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006352/index.htm,Bedrooms 2, Sleeps 3,10/10,£350 to £455 pw
Holiday cottage rental 15km from Coutances, NM003308,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM003308/index.htm,Bedrooms 3, Sleeps 6,9.9/10,£330 to £545 pw
Character Dordogne holiday gite for 2, AD005318,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD005318/index.htm,Bedrooms 1, Sleeps 2,10/10,£315 pw
Stunning barn to let with pool in Calvados, NC003291,https://www.holidayfrancedirect.co.uk/holiday-rentals/NC003291/index.htm,Bedrooms 4, Sleeps 10,10/10,£950 to £1800 pw
Tranquil rural holiday gite for 4 in Normandy, NM004011,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM004011/index.htm,Bedrooms 2, Sleeps 4,10/10,£320 to £560 pw
Charentaise holiday farmhouse & pool rental, PC004353,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC004353/index.htm,Bedrooms 2, Sleeps 4,4,£700 to £800 pw
Breton farmhouse holiday lets Henanbihen, BN002509,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN002509/index.htm,Bedrooms 6, Sleeps 11,8.4/10,£615 to £970 pw
Holiday farmhouse to rent near Dinan, BN001600_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN001600_B/index.htm,Bedrooms 2, Sleeps 4,4,£350 to £450 pw
Renovated gite for family holidays in Begard, BN004790,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN004790/index.htm,Bedrooms 2, Sleeps 4,4,£525 to £945 pw
"Holiday complex, pool and bar near Lamballe", BN002848_E,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN002848_E/index.htm,Bedrooms 2, Sleeps 4,4,€1000 to €1800 pw
Lovely gite to let in large grounds in Aude, RA006541,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA006541/index.htm,Bedrooms 2, Sleeps 4,4,£280 to £720 pw
Rural holiday cottage for 6 to let in Vendee, LV006679,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV006679/index.htm,Bedrooms 3, Sleeps 6,10/10,£550 to £775 pw
"Holiday farmhouse, private pool, Dordogne", AD007696,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007696/index.htm,Bedrooms 3, Sleeps 8,8,£700 to £1300 pw
"Spacious gite to let, private pool, Limousin", UO007221,https://www.holidayfrancedirect.co.uk/holiday-rentals/UO007221/index.htm,Bedrooms 3, Sleeps 6,6,£650 to £910 pw
Converted barn with private heated pool, PC003567,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC003567/index.htm,Bedrooms 5, Sleeps 10,9.1/10,£1180 to £2520 pw
Holiday let with pool in rural Aquitaine, AT005976,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT005976/index.htm,Bedrooms 3, Sleeps 6,10/10,£650 to £1250 pw
Holiday let with pool in rural Maine et Loire, LL005165_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/LL005165_B/index.htm,Bedrooms 3, Sleeps 6,6,£895 to £1495 pw
Luxury cottage centre of Pontrieux Brittany, BN005392,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN005392/index.htm,Bedrooms 2, Sleeps 4,10/10,£550 to £620 pw
Farmhouse holiday rental 10km Avranches, NM002894,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM002894/index.htm,Bedrooms 3, Sleeps 8,9.7/10,£850 pw
"Spacious gite & shared pool to let, Aquitaine", AT007386,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT007386/index.htm,Bedrooms 2, Sleeps 4,4,£695 to £950 pw
"Two bed gite to let, shared pool, Dordogne", AD007154,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007154/index.htm,Bedrooms 2, Sleeps 4,10/10,£550 to £950 pw
Holiday cottages/apartments to let nr Benodet, BF000236_J,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF000236_J/index.htm,Bedrooms 18, Sleeps 37,37,€480 to €1010 pw
Cosy gite in a hamlet in Poitou Charentes, PS005092,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS005092/index.htm,Bedrooms 2, Sleeps 5,9.7/10,£300 to £620 pw
Rural holiday gite for rental Western Loire, LS005851,https://www.holidayfrancedirect.co.uk/holiday-rentals/LS005851/index.htm,Bedrooms 4, Sleeps 7,7,£910 to £1050 pw
Peaceful gite to let in Poitou Charentes, PV004224,https://www.holidayfrancedirect.co.uk/holiday-rentals/PV004224/index.htm,Bedrooms 2, Sleeps 4,10/10,£452 to £833 pw
Holiday let in rural Loire Valley, VI005100_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/VI005100_C/index.htm,Bedrooms 1, Sleeps 2,2,£395 to £695 pw
"Perigordine holiday house with pool, Dordogne", AD007647,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007647/index.htm,Bedrooms 4, Sleeps 8,8,£1126 to £2228 pw
Holiday gite in Normandy near St Mere Eglise, NM006337,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM006337/index.htm,Bedrooms 1, Sleeps 4,10/10,£365 to £450 pw
Vendee farmhouse for holiday rental, LV000815,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV000815/index.htm,Bedrooms 3, Sleeps 7,9.6/10,£425 to £650 pw
Holiday let with pool in rural Western Loire, LL005072_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/LL005072_C/index.htm,Bedrooms 2, Sleeps 4,9.6/10,€495 to €675 pw
200yr Old Farmhouse for Holidays in Menigoute, PS004859,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS004859/index.htm,Bedrooms 2, Sleeps 7,9.5/10,£430 to £875 pw
Luxurious farmhouse & pool to let in Dordogne, AD007634,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007634/index.htm,Bedrooms 5, Sleeps 10,10,£2450 to £6000 pw
"Holiday cottage in Brittany, Dinan 15 mins", BN007493,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN007493/index.htm,Bedrooms 2, Sleeps 4,4,£251 to £408 pw
Cottage for holiday let St Jean,d'Angély ,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM002399_A/index.htm,Bedrooms 20, Sleeps 40,40,£850 to £1650 pw
Millhouse for holiday rentals near Falaise, NO001378_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/NO001378_A/index.htm,Bedrooms 6, Sleeps 10,10,£700 to £950 pw
Holiday let in gite complex near Carlux, AD004978,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD004978/index.htm,Bedrooms 1, Sleeps 4,4,£320 to £700 pw
"Large holiday gite with pool, rural Aquitaine", AT005799,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT005799/index.htm,Bedrooms 3, Sleeps 6,6,£845 to £1445 pw
"Tranquil Farmhouse to let Plounerin, Brittany", BN006332,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN006332/index.htm,Bedrooms 4, Sleeps 8,8,£550 to £1150 pw
, PC006033_E,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006033_E/index.htm,Bedrooms 2, Sleeps 4,4,£560 to £728 pw
"Large holiday farmhouse with pool, Aquitaine", AD003584,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD003584/index.htm,Bedrooms 3, Sleeps 6,9.2/10,£695 to £1475 pw
18th century farmhouse to let in Deux Sevres, PS006183,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS006183/index.htm,Bedrooms 4, Sleeps 9,9.7/10,£1230 to £1680 pw
Renovated farmhouse to let in Dordogne, AD005864_D,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD005864_D/index.htm,Bedrooms 2, Sleeps 4,4,€815 to €1235 pw
Converted Farmhouse to let near St Malo, BI006344,https://www.holidayfrancedirect.co.uk/holiday-rentals/BI006344/index.htm,Bedrooms 2, Sleeps 4,9.7/10,£875 to £1040 pw
Converted barn to let with pool near Poitiers, PV006203,https://www.holidayfrancedirect.co.uk/holiday-rentals/PV006203/index.htm,Bedrooms 2, Sleeps 5,10/10,£560 to £840 pw
"Holiday cottage with private pool, Aquitaine", AD007428,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007428/index.htm,Bedrooms 3, Sleeps 6,6,£1200 to £1695 pw
"Big house, pool, garden, great view, nr Royan", PM006125,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM006125/index.htm,Bedrooms 5, Sleeps 12,12,£1000 to £2100 pw
"La Clartiere holiday cottage, Calvados", NC002675,https://www.holidayfrancedirect.co.uk/holiday-rentals/NC002675/index.htm,Bedrooms 2, Sleeps 4,9.2/10,£495 to £795 pw
Luxury holiday let near St Sauveur le Vicomt, NM001949_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM001949_B/index.htm,Bedrooms 1, Sleeps 2,2,€500 to €600 pw
"Holiday farmhouse with pool, Aquitaine", AD006989_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006989_B/index.htm,Bedrooms 1, Sleeps 3,3,£495 to £695 pw
Holiday cottage & pool to let nr Pont,Aven ,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF002047_D/index.htm,Bedrooms 3, Sleeps 6,9.7/10,£425 to £1225 pw
Holiday gite accommodation nr La Palmyre, PM002091,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM002091/index.htm,Bedrooms 3, Sleeps 6,9.8/10,£525 to £980 pw
