,skus,availableColors,bestUse,cleanTitle,skuSizes,styleCheckerLink,sale,partialClearance,clearance,events,imageId,index,prodId,thumbnailImageLink,brand,foundIn,collections,gender,features,freshness,shortDescription,benefit,rating,reviewCount,inventoryUnits,regularPrice,percentageOff,onlineOnly,available,outlet,tags,title,description,link,customFields,colorName,couponEligibility,displayPrice.styleId,displayPrice.min,displayPrice.max,displayPrice.advertisedMin,displayPrice.advertisedMax,displayPrice.compareAt,displayPrice.miscCharge,displayPrice.advertisedCompareAt,displayPrice.minAdvertisedPrice,displayPrice.isMinAdvertisedPriceActive,displayPrice.cartMin,displayPrice.cartMax,displayPrice.priceDisplay.priceDisplayType,displayPrice.priceDisplay.price,displayPrice.priceDisplay.salePrice,displayPrice.priceDisplay.compareAtPrice,displayPrice.priceDisplay.savingsPercent,colorDetails.displayType,colorDetails.selectedColorFamily,colorDetails.featuredVendorColor,colorDetails.selectedVendorColor,colorDetails.colors
0,[],"[{'sku': '1340720001', 'color': 'Gray', 'vendorColor': 'ABYSS GREY'}, {'sku': '1340720004', 'color': 'Red', 'vendorColor': 'RIGBY RED'}, {'sku': '1340720007', 'color': 'Blue', 'vendorColor': 'UNITY BLUE'}]",[],Atmos AG 65 Pack - Men's,,,False,False,False,[],134072,1,134072,https://www.rei.com/media/product/1340720001?size=230,Osprey,,,,,,,Don't abandon comfort just because you're leaving your creature comforts at home. The Osprey Atmos AG 65 pack uses Anti-Gravity™ technology to distribute the load and provide a dreamlike fit.,4.6331,139,,270,,False,False,False,,Atmos AG 65 Pack - Men's,Don't abandon comfort just because you're leaving your creature comforts at home. The Osprey Atmos AG 65 pack uses Anti-Gravity™ technology to distribute the load and provide a dreamlike fit.,/product/134072/osprey-atmos-ag-65-pack-mens,[],,,134072,270.0,270.0,,,270.0,,,,,,,PRICE,$270.00,,,,thumbnails,,ABYSS GREY,,"[{'vendorColorName': 'RIGBY RED', 'colorFamily': 'Red', 'swatchURI': None, 'swatchColors': ['#781117', '#410A0A'], 'sampleSku': '1340720004', 'imageURIs': ['/media/692d18d4-a152-476f-8516-7f5b3b443916', '/media/f4870dee-0429-4c4a-91e8-8caee469cf81', '/media/78281c67-5299-4b2e-9a66-490687d2539f', '/media/de1fdbbc-1527-453f-8fd4-07c66690f6f2', '/media/b1f98bca-5dcd-4fcd-88f2-ce27aa60986f', '/media/1f8df897-09d3-42f9-b9d0-70fb5dcc090b', '/media/bb64a020-aae3-4d05-a3c8-c1053e622845']}, {'vendorColorName': 'UNITY BLUE', 'colorFamily': 'Blue', 'swatchURI': None, 'swatchColors': ['#111E2A'], 'sampleSku': '1340720007', 'imageURIs': ['/media/3e2cbb6c-95b6-4b99-b95b-2dce34ebbfc5', '/media/815576d6-92c3-4f8d-af62-6659b6c590c1', '/media/5f01c1b9-137f-4ff4-9181-ea4ab7e33109']}, {'vendorColorName': 'ABYSS GREY', 'colorFamily': 'Gray', 'swatchURI': None, 'swatchColors': ['#474C54'], 'sampleSku': '1340720001', 'imageURIs': ['/media/07325538-a1f2-4d5b-8949-ac3082c62f59', '/media/ff0c004f-b8b1-49f3-878a-efdc94db2871', '/media/4464ca90-e927-4a1e-8db8-3f113bba7e28', '/media/a4f3022e-2dcd-4a1f-b172-c2c52aac75e9', '/media/05cdae54-9818-4464-b66f-45cf919834eb', '/media/89eb32fc-a886-438c-b4d0-12a4d5a41df7']}]"
1,[],"[{'sku': '1267170001', 'color': 'Blue', 'vendorColor': 'CHALLENGER BLUE'}, {'sku': '1267170004', 'color': 'Red', 'vendorColor': 'GAMMA RED'}, {'sku': '1267170007', 'color': 'Gray', 'vendorColor': 'VESTAL GREY'}]",[],Aura AG 65 Pack - Women's,,,False,False,False,[],126717,2,126717,https://www.rei.com/media/product/1267170001?size=230,Osprey,,,,,,,"With an Anti-Gravity™ suspension system and a women-specific fit, the Osprey Aura AG 65 pack lets you maintain comfort when you're trading your creature comforts for adventures on the trail.",4.4819,83,,270,,False,False,False,,Aura AG 65 Pack - Women's,"With an Anti-Gravity™ suspension system and a women-specific fit, the Osprey Aura AG 65 pack lets you maintain comfort when you're trading your creature comforts for adventures on the trail.",/product/126717/osprey-aura-ag-65-pack-womens,[],,,126717,270.0,270.0,,,270.0,,,,,,,PRICE,$270.00,,,,thumbnails,,CHALLENGER BLUE,,"[{'vendorColorName': 'GAMMA RED', 'colorFamily': 'Red', 'swatchURI': None, 'swatchColors': ['#50101A'], 'sampleSku': '1267170004', 'imageURIs': ['/media/d1d38778-a2b3-48fd-9da8-1c2c0d95b5fa', '/media/a926a48f-ee3c-4844-887c-80ab77903ee3', '/media/b9002f19-2e54-40d2-a858-e6cc0b7b4d04', '/media/b4665728-9edc-4d0d-8e4d-db62df380be2', '/media/87e3de90-1bdd-4c35-9da7-65c14ffbf420', '/media/af70ee5c-16d1-4158-964f-355cf18f68e6']}, {'vendorColorName': 'CHALLENGER BLUE', 'colorFamily': 'Blue', 'swatchURI': None, 'swatchColors': ['#254254'], 'sampleSku': '1267170001', 'imageURIs': ['/media/824d588e-780e-46cd-bc73-5fd0d301c089', '/media/495a6150-d9e8-445d-938c-52957494b7de', '/media/77e951af-e79f-44c3-9f71-ffa143386315', '/media/17ea44a6-840f-4222-908c-66c57b26d9ea']}, {'vendorColorName': 'VESTAL GREY', 'colorFamily': 'Gray', 'swatchURI': None, 'swatchColors': ['#484D55'], 'sampleSku': '1267170007', 'imageURIs': ['/media/fb09279b-381a-48bb-91ff-75a12aa29aaa', '/media/c92f3f18-6c1f-4317-bdf1-bf8cfe5884c7', '/media/75513678-f48f-4720-9206-f72fa7db8093', '/media/3b1ced54-3584-4c50-a879-ed98953a2659', '/media/cdaa8b54-9653-437a-875a-84b72055c37c', '/media/409e5c30-cfb5-41c7-92d0-04e40675c157', '/media/aadd0aa3-2674-48b9-83a9-6c1379b256d1', '/media/c8e28d12-02a3-47ca-b162-a2337577b0d5', '/media/b81f9aaf-d4d9-4342-816d-71f7b14521b3', '/media/1c97a0d0-452c-4c0f-997c-e640cf0c0181', '/media/6fef14e1-320d-4d60-b7d5-258b340827a2', '/media/397a3e01-1969-4356-9049-818eca449171', '/media/2a1bfc09-7958-471d-8bbe-02dfb67ee553', '/media/3037424e-9b99-4966-9431-ddbf169f0f41', '/media/0ba6868f-c1ab-4a16-8790-bc165188b637', '/media/75522cb7-f4d7-4465-b1c3-ccb040b7d3d4', '/media/f8af8a71-fc5d-481a-88c9-268c1773d917', '/media/5b533da2-97c9-4522-a0bd-283afbe2864f', '/media/9f207786-0790-4900-a8a5-9c1a51b723bf']}]"
2,[],"[{'sku': '1113010001', 'color': 'Black', 'vendorColor': 'BLACK'}, {'sku': '1113010002', 'color': 'Purple', 'vendorColor': 'RUSKA PURPLE'}, {'sku': '1113010003', 'color': 'Blue', 'vendorColor': 'SUMMIT BLUE'}]",[],Sirrus 24 Pack - Women's,,,False,False,False,[],111301,3,111301,https://www.rei.com/media/product/1113010001?size=230,Osprey,,,,,,,"With panel-loading convenience and organization, and a women-specific fit, the Osprey Sirrus 24 pack carries everything you need on a day hike.",4.2778,126,,140,,False,False,False,,Sirrus 24 Pack - Women's,"With panel-loading convenience and organization, and a women-specific fit, the Osprey Sirrus 24 pack carries everything you need on a day hike.",/product/111301/osprey-sirrus-24-pack-womens,[],,,111301,140.0,140.0,,,140.0,,,,,,,PRICE,$140.00,,,,thumbnails,,RUSKA PURPLE,,"[{'vendorColorName': 'BLACK', 'colorFamily': 'Black', 'swatchURI': None, 'swatchColors': ['#252828'], 'sampleSku': '1113010001', 'imageURIs': ['/media/95d011d5-48de-492b-b831-cf6b3c0bfa61', '/media/41db2023-0ccf-4688-9882-44c5bac68e40']}, {'vendorColorName': 'SUMMIT BLUE', 'colorFamily': 'Blue', 'swatchURI': None, 'swatchColors': ['#0B5583'], 'sampleSku': '1113010003', 'imageURIs': ['/media/5c4c367f-792c-4367-a457-f17ca8fdd932', '/media/297350b2-a04e-4928-b0f7-1987fc3acc25', '/media/fbb359c4-8f13-428e-8ec3-31f1b85afa19', '/media/f93ad11b-109e-4532-b80b-1257c3204f14', '/media/885351aa-f9fe-49f8-b1fc-e8d55680beec', '/media/38db1ed8-ff27-4d5c-8118-e53fa250671c', '/media/2a54d255-5286-46e5-8623-b29b30c1071f', '/media/d08f7af5-f25f-4040-b254-9168c38368de', '/media/da048ada-5487-40c8-8cd6-7681cae9ba20', '/media/84343c17-c175-4625-80b7-a3d54ef0b279', '/media/e1a6295e-4b6b-4ed8-82e2-a03f00abd397', '/media/b341bf9a-dc03-44f9-a1a5-ef1b0c83b092']}, {'vendorColorName': 'RUSKA PURPLE', 'colorFamily': 'Purple', 'swatchURI': None, 'swatchColors': ['#411142'], 'sampleSku': '1113010002', 'imageURIs': ['/media/249c465f-49b9-4472-94b9-100c169f306f', '/media/f0a0ddf0-b13b-4d9c-8078-d83f36688253']}]"
3,[],"[{'sku': '1267160001', 'color': 'Blue', 'vendorColor': 'CHALLENGER BLUE'}, {'sku': '1267160004', 'color': 'Red', 'vendorColor': 'GAMMA RED'}, {'sku': '1267160007', 'color': 'Gray', 'vendorColor': 'VESTAL GREY'}]",[],Aura AG 50 Pack - Women's,,,False,False,False,[],126716,4,126716,https://www.rei.com/media/product/1267160003?size=230,Osprey,,,,,,,"The joy is in the journey when you're carrying the women-specific Osprey Aura AG 50 pack, which uses Anti-Gravity™ technology to balance heavy loads and provide cooling comfort on long treks.",4.625,48,,240,,False,False,False,,Aura AG 50 Pack - Women's,"The joy is in the journey when you're carrying the women-specific Osprey Aura AG 50 pack, which uses Anti-Gravity™ technology to balance heavy loads and provide cooling comfort on long treks.",/product/126716/osprey-aura-ag-50-pack-womens,[],,,126716,240.0,240.0,,,240.0,,,,,,,PRICE,$240.00,,,,thumbnails,,CHALLENGER BLUE,,"[{'vendorColorName': 'GAMMA RED', 'colorFamily': 'Red', 'swatchURI': None, 'swatchColors': ['#4D0E19'], 'sampleSku': '1267160004', 'imageURIs': ['/media/d6bf744c-d75d-4e84-8414-a26df112f2d6', '/media/57261489-abeb-425b-a7d8-dd6615c15ce3', '/media/41008ff7-fd31-4f46-9b9c-55882459f7a5']}, {'vendorColorName': 'CHALLENGER BLUE', 'colorFamily': 'Blue', 'swatchURI': None, 'swatchColors': ['#254254'], 'sampleSku': '1267160001', 'imageURIs': ['/media/aaa361ce-141c-4b7a-9eff-72073a222daf', '/media/3cb065e8-e64b-49c0-b372-374b849258c1']}, {'vendorColorName': 'VESTAL GREY', 'colorFamily': 'Gray', 'swatchURI': None, 'swatchColors': ['#484D55'], 'sampleSku': '1267160007', 'imageURIs': ['/media/75f1bf2a-133b-4877-b9c7-002028115799', '/media/2c770568-0d7e-4c9c-8e3d-35cd1d00285d']}]"
4,[],"[{'sku': '1179660002', 'color': 'Black', 'vendorColor': 'BLACK'}, {'sku': '1179660015', 'color': 'Blue', 'vendorColor': 'CLASSIC NAVY/CLASSIC NAVY'}, {'sku': '1179660017', 'color': 'Red', 'vendorColor': 'ROAMER RED'}, {'sku': '1179660019', 'color': 'Blue', 'vendorColor': 'SMOLDER BLUE/BUCKWHEAT GOLD'}, {'sku': '1179660020', 'color': 'Blue', 'vendorColor': 'SMOLDER BLUE/PATCHWORK'}, {'sku': '1179660021', 'color': 'Blue', 'vendorColor': 'TIDEPOOL BLUE/TROPICAL BIRDS'}]",[],Atom Sling,,,False,False,False,[],117966,5,117966,https://www.rei.com/media/product/1179660020?size=230,Patagonia,,,,,,,"Just big enough for all the essentials, the Patagonia Atom sling blends the comfort of a backpack, the convenience of a shoulder bag and the low-profile carry of a courier's tote.",4.5608,148,,59,,False,False,False,,Atom Sling,"Just big enough for all the essentials, the Patagonia Atom sling blends the comfort of a backpack, the convenience of a shoulder bag and the low-profile carry of a courier's tote.",/product/117966/patagonia-atom-sling,[],,,117966,59.0,59.0,,,59.0,,,,,,,PRICE,$59.00,,,,thumbnails,,CLASSIC NAVY/CLASSIC NAVY,,"[{'vendorColorName': 'BLACK', 'colorFamily': 'Black', 'swatchURI': None, 'swatchColors': ['#292728'], 'sampleSku': '1179660002', 'imageURIs': ['/media/417a4b9f-3a2d-4d6e-bc0c-b4e10c606fbd', '/media/73905941-591e-4d57-af2b-633c8b2131e9', '/media/1ef4e8ad-304a-4d20-a7fa-0460469f4dd8', '/media/43a6bdf3-01f5-4f35-a3f4-1de80b170d8f', '/media/c4d1e978-dba9-4c72-bfc7-391f7b3b128b', '/media/8ef23d1a-6fcc-4493-9772-f76e2d00a3ba']}, {'vendorColorName': 'SMOLDER BLUE/BUCKWHEAT GOLD', 'colorFamily': 'Blue', 'swatchURI': None, 'swatchColors': ['#3B3E42'], 'sampleSku': '1179660019', 'imageURIs': ['/media/f6792111-429a-4903-b390-8e543131c89c']}, {'vendorColorName': 'ROAMER RED', 'colorFamily': 'Red', 'swatchURI': None, 'swatchColors': ['#701F2C'], 'sampleSku': '1179660017', 'imageURIs': ['/media/0f3285ac-546e-4e78-b0f5-f2ce98064f72', '/media/7039c3e0-f09e-4a52-92be-a8997c8c1e80', '/media/b70391f1-726e-4355-aa55-f72457f88d95', '/media/c768bf3c-242c-4068-a542-6155858fc20b', '/media/f9096aca-c8f6-44cb-958f-d7f01db2ace2']}, {'vendorColorName': 'CLASSIC NAVY/CLASSIC NAVY', 'colorFamily': 'Blue', 'swatchURI': None, 'swatchColors': ['#282E3F'], 'sampleSku': '1179660015', 'imageURIs': ['/media/c64c217b-d29a-4452-8337-9b5dc37a7802', '/media/e5d34cba-3ce5-4bc2-b26f-92a80aa22f1f', '/media/79fee388-6bf8-4f01-9142-6fcb85c4f1c6', '/media/99421459-cbf5-455d-9660-bf4aa1a56e57', '/media/0463a85b-a8dc-4118-98f7-d90b2c791187', '/media/a159d24c-b392-4a83-9239-173720224a99']}, {'vendorColorName': 'SMOLDER BLUE/PATCHWORK', 'colorFamily': 'Blue', 'swatchURI': None, 'swatchColors': ['#4D5469', '#CDAE68'], 'sampleSku': '1179660020', 'imageURIs': ['/media/99ef46fe-c3e5-4fb0-97e3-d6c566003444']}, {'vendorColorName': 'TIDEPOOL BLUE/TROPICAL BIRDS', 'colorFamily': 'Blue', 'swatchURI': None, 'swatchColors': ['#363F50', '#8D7F7A'], 'sampleSku': '1179660021', 'imageURIs': ['/media/cbc109af-5fb5-4b31-933d-91b86f5f13e9']}]"
5,[],"[{'sku': '1466300001', 'color': 'Brown', 'vendorColor': 'POTTERY CLAY/BROWN GINGHAM'}, {'sku': '1466300003', 'color': 'Black', 'vendorColor': 'BLACK/BLACK GINGHAM'}]",[],Blaze 60 Pack - Men's,,,False,False,False,[],146630,6,146630,https://www.rei.com/media/product/1466300003?size=230,Granite Gear,,,,,,,"Built to go the distance—no matter how rocky, muddy or tough—the men's Granite Gear Blaze 60 pack comfortably hauls the gear you need for multiday adventures off the grid.",4.0,7,,269.95,,False,False,False,,Blaze 60 Pack - Men's,"Built to go the distance—no matter how rocky, muddy or tough—the men's Granite Gear Blaze 60 pack comfortably hauls the gear you need for multiday adventures off the grid.",/product/146630/granite-gear-blaze-60-pack-mens,[],,,146630,269.95,269.95,,,269.95,,,,,,,PRICE,$269.95,,,,thumbnails,,POTTERY CLAY/BROWN GINGHAM,,"[{'vendorColorName': 'POTTERY CLAY/BROWN GINGHAM', 'colorFamily': 'Brown', 'swatchURI': None, 'swatchColors': ['#806541', '#A69785'], 'sampleSku': '1466300001', 'imageURIs': ['/media/d5728b19-f8c2-41f2-9f00-ec6dac027896', '/media/7fb8bd6a-0426-4cac-b960-6593e52b5ea8', '/media/3349f041-a72f-498d-ae89-37a84c507e36', '/media/27770509-628f-402f-8c27-8a763cb5174e', '/media/51cfd64c-a3c7-4978-8a01-e30be24a62d2', '/media/1ed19d31-4a54-4346-af01-03d83c1cde9a', '/media/f05e40f0-5963-4f52-8d86-a5f992aa4750', '/media/67b52a0d-f956-4ff7-854c-25827c494465', '/media/73e0dd23-b835-42b5-a1c4-fb3a3f4e6ea0', '/media/87686a33-3572-4089-af15-a06fde6edc6b']}, {'vendorColorName': 'BLACK/BLACK GINGHAM', 'colorFamily': 'Black', 'swatchURI': None, 'swatchColors': ['#313131', '#7E7E7E'], 'sampleSku': '1466300003', 'imageURIs': ['/media/bef5221a-0660-4716-8344-c26866d71614', '/media/9dbdb44d-6fce-4d17-97ad-7632913941b5', '/media/99408c24-d839-4674-b171-517319e1cbe2', '/media/18ad63c1-ab2c-45aa-ba85-8bc6da716f53', '/media/89cdd338-b6d6-4cd3-8e77-4e285b669f6a']}]"
6,[],"[{'sku': '1013660001', 'color': 'Blue', 'vendorColor': 'BLUE'}]",[],Hydraulics Reservoir - 3 Liters,,,False,False,False,[],101366,7,101366,https://www.rei.com/media/product/1013660001?size=230,Osprey,,,,,,,The 3-liter Osprey Hydraulics reservoir is ideal for large-volume packs and long-duration activities.,4.0338,266,,42,,False,False,False,,Hydraulics Reservoir - 3 Liters,The 3-liter Osprey Hydraulics reservoir is ideal for large-volume packs and long-duration activities.,/product/101366/osprey-hydraulics-reservoir-3-liters,[],,,101366,42.0,42.0,,,42.0,,,,,,,PRICE,$42.00,,,,thumbnails,,BLUE,,"[{'vendorColorName': 'BLUE', 'colorFamily': 'Blue', 'swatchURI': None, 'swatchColors': ['#D1D5DA', '#40657C'], 'sampleSku': '1013660001', 'imageURIs': ['/media/2c70a109-1e92-402b-b9d3-6d89fba2167d', '/media/98ce685d-fee5-42db-b08f-779f58543905', '/media/23d0b809-8d8a-402b-887a-77aeff85df2b']}]"
7,[],"[{'sku': '1684840001', 'color': 'Black', 'vendorColor': 'BLACK'}, {'sku': '1684840002', 'color': 'Red', 'vendorColor': 'DARK RED'}, {'sku': '1684840003', 'color': 'Blue', 'vendorColor': 'INDIGO'}]",[],Trail 25 Pack - Men's,,,False,False,False,[],168484,8,168484,https://www.rei.com/media/product/1684840001?size=230,REI Co-op,,,,,,,"Sized just right for day hikes, commuting and carry-on travel, the men's REI Co-op Trail 25 pack holds plenty of gear, keeps it well organized and rides light and comfy on your back.",4.75,72,,79.95,,False,False,False,,Trail 25 Pack - Men's,"Sized just right for day hikes, commuting and carry-on travel, the men's REI Co-op Trail 25 pack holds plenty of gear, keeps it well organized and rides light and comfy on your back.",/product/168484/rei-co-op-trail-25-pack-mens,[],,,168484,79.95,79.95,,,79.95,,,,,,,PRICE,$79.95,,,,thumbnails,,INDIGO,,"[{'vendorColorName': 'BLACK', 'colorFamily': 'Black', 'swatchURI': None, 'swatchColors': ['#404041'], 'sampleSku': '1684840001', 'imageURIs': ['/media/236a0b79-9fa2-4240-9251-bacceb4356a5', '/media/04f735a8-b6ca-4744-83c5-4e2e56eb8963', '/media/d842ce77-1126-4ebe-a3e6-58426b564b93', '/media/3fee0298-c4a3-4d36-8bd5-ac39747415f2', '/media/39e426ea-4208-405a-b4bb-9d68dfbcae2e', '/media/e35a2607-c8af-433f-a388-2fae21b6e6e7', '/media/bf6208a7-5d13-4065-8661-96b742d9d25c', '/media/49c2a05f-fdc6-45b4-9bd5-f4c5f6414af9', '/media/e60fb9f1-d660-49ad-a752-585125dbc292', '/media/5905a550-6a54-408f-bd3e-9a35ae25ca41']}, {'vendorColorName': 'INDIGO', 'colorFamily': 'Blue', 'swatchURI': None, 'swatchColors': ['#344561'], 'sampleSku': '1684840003', 'imageURIs': ['/media/f04915e6-dc75-446a-9858-78dc08a02e2e', '/media/a2ab23a6-d4fc-42bf-bf5d-1f70c4451b31', '/media/65baf1c7-55fd-4ddd-986a-7abf0dca4aa3', '/media/4085c46d-87f8-45d6-97a0-33b12e1bd2aa', '/media/8bfd723a-4e24-4968-a5f7-250d563bdf42', '/media/fbb4f670-0029-43cd-a767-d8b1835c1ab6', '/media/859460f6-38fc-4edb-97fa-127babc50e08']}, {'vendorColorName': 'DARK RED', 'colorFamily': 'Red', 'swatchURI': None, 'swatchColors': ['#A04248'], 'sampleSku': '1684840002', 'imageURIs': ['/media/05ba915a-c002-4b11-8b6c-5fe8734bb989', '/media/e2032175-f0fe-412a-be2f-32b76726332c', '/media/55a44f70-01dc-44ba-8184-63828fb3458b', '/media/b200c3d6-b310-4ffe-8d88-9ac4ef38c65e', '/media/8ee60fbf-0b93-4ad4-961c-83ac8f268f2c', '/media/23ae6a6d-6e15-473e-bfbf-a4c8f8aa37f2', '/media/fda1069d-802b-4e10-b919-9bccb9e11b0f', '/media/b5dd0ff7-6757-4ce1-b564-c9164ef04f79', '/media/5bcaf8d4-5841-4797-9918-3ebabfc567eb']}]"
8,[],"[{'sku': '1232050001', 'color': 'Blue', 'vendorColor': 'DUSK BLUE'}, {'sku': '1232050004', 'color': 'Orange', 'vendorColor': 'FERROUS ORANGE'}]",[],Baltoro 75 Pack - Men's,,,False,False,False,[],123205,9,123205,https://www.rei.com/media/product/1232050006?size=230,Gregory,,,,,,,"Winter weekends and extended trail trips are all on the table with the Gregory Baltoro 75 pack. Its customizable suspension system delivers dynamic support, making easy work out of long miles.",4.5595,84,,329.95,,False,False,False,,Baltoro 75 Pack - Men's,"Winter weekends and extended trail trips are all on the table with the Gregory Baltoro 75 pack. Its customizable suspension system delivers dynamic support, making easy work out of long miles.",/product/123205/gregory-baltoro-75-pack-mens,[],,,123205,329.95,329.95,,,329.95,,,,,,,PRICE,$329.95,,,,thumbnails,,DUSK BLUE,,"[{'vendorColorName': 'DUSK BLUE', 'colorFamily': 'Blue', 'swatchURI': None, 'swatchColors': ['#444A57'], 'sampleSku': '1232050001', 'imageURIs': ['/media/0b630820-073e-4710-bcdd-5fe0b81a8a51', '/media/eba6e75f-a003-4e47-aa5e-8a60267b3119', '/media/c98411a8-26ee-480a-8ca9-508a53561bea', '/media/a32eb0fd-ad13-466c-86c0-420190fba10d']}, {'vendorColorName': 'FERROUS ORANGE', 'colorFamily': 'Orange', 'swatchURI': None, 'swatchColors': ['#CA604E', '#F6F2F0'], 'sampleSku': '1232050004', 'imageURIs': ['/media/907841f9-ab00-4680-ba27-0eac315ad911', '/media/1cdb9617-1eb4-4ac6-8fd4-b17996873c56', '/media/3a6b3b51-9884-4e11-89b3-1027829c4586', '/media/09e232d6-20d4-4762-aa7b-3be6e17ed28f', '/media/f05f90d1-c267-4382-b304-a77ef9a24da5', '/media/7cc37031-aade-46f8-b88a-c46a5d1716ee', '/media/fb893138-a96a-4e8c-8089-9effb5febeeb', '/media/bb622f59-567c-4e15-86a4-71e7546f5d26', '/media/1286ee57-4735-4dba-90cf-cce1f31beab6', '/media/b43c933d-9d73-4e8b-b07e-0fe18f13f1fa', '/media/84d2cafd-4ccd-46c8-aa02-f96cb239714e', '/media/68ecc8da-5543-4b7e-b6c2-da08170aeaa8', '/media/69900f2c-237f-4208-9535-36790c20a5b4', '/media/e2c1251c-b938-4936-8072-bac725100264', '/media/840412e7-f95f-4726-854d-60042853a91c']}]"
