,name,short_description,website,phone,map_link,address,features,rating,reviews
0,Grace 40,Cafes and Coffee Shops,https://www.facebook.com/Grace-40-513267219079094,07786 367880 ,/biz/grace-40-bromley-9271964/#view=map,"We serve London|Bromley,BR1","Specialist Coffee Shops, Lunches, Sandwiches, Breakfasts, Hot Food, Takeaway Food",5.0,3 Ratings
1,Angelique Coffee Ltd,Coffee Machines and Supplies,/customerneeds/sendenquiry/sendtoone/100040791310000020?searchedLocation=London,020 7157 9515 ,/biz/angelique-coffee-ltd-london-10077027/#view=map,"Kemp House, 152-160, City Rd, London, EC1V 2NX","Traditional Espresso Machine, Rental From Â£2.50 Per Day, Bean To Cup Specialist, Coffe Machines For Offices, Vending Machine Sales / Lease, Organic & Fairtrade Coffee",5.0,2 Ratings
2,Familydeli,Food and Drink - Delivered,/customerneeds/sendenquiry/sendtoone/100040795548000040?searchedLocation=London,01733 209678 ,,We serve London,"Family To Family, Fast Delivery, Organic Food & Beverages, Gluten Free Vegan & Vegetarian, Lowest Prices Online, Award Winning Food & Drink",5.0,1 Rating
3,Pistachios in the Park - Red Lion Cafe,Cafes and Coffee Shops,/customerneeds/sendenquiry/sendtoone/100040802333000020?searchedLocation=London,020 3116 0024 ,/biz/pistachios-in-the-park-red-lion-cafe-london-10157372/#view=map,"Red Lion Square Gardens, London, WC1R 4QH","Burgers, Hot Dogs & Barbecue, Coffee,Soft Drinks & Hot Drink, Chilean Food, Jacket Potatoes & Sandwiches, Outdoor & Indoor Seating, Free Wi Fi Available",,
4,St Anna,Cafes and Coffee Shops,https://www.facebook.com/st.anna.chelsea/,020 7751 5893 ,/biz/st-anna-london-9076429/#view=map,"453 Fulham Rd, London, SW10 9UZ","Independent Coffee Shop, Artisan Coffee, Locally Roasted, Paninis, Pastries, Sandwiches, Art On Display For Sale, Friendly Efficient Service",5.0,1 Rating
5,BlueBox.,Cafes and Coffee Shops,/customerneeds/sendenquiry/sendtoone/100040664411000040?searchedLocation=London,020 3675 5173 ,/biz/bluebox-london-9741228/#view=map,"1386 High Rd, London, N20 9BH","Healthy Food Options, Low Carb, Refined Sugar Free, Gluten Free, Vegan, Freshly Home Made Food, Childrens Play Area, Order Online For Collection",,
6,Algerian Coffee Stores Ltd,Tea and Coffee Specialist Shops,http://www.algcoffee.co.uk,020 7437 2480 ,/biz/algerian-coffee-stores-ltd-london-508535/#view=map,"52 Old Compton St, London, W1D 4PB",,4.8,4 Ratings
7,Maison Bertaux Ltd,Cafes and Coffee Shops,http://www.maisonbertaux.com,020 7437 6007 ,/biz/maison-bertaux-ltd-london-306850/#view=map,"28 Greek St, London, W1D 5DQ",,4.6,12 Ratings
8,Canela Covent Garden Ltd,Cafes and Coffee Shops,http://www.canelacafe.com,020 7240 6926 ,/biz/canela-covent-garden-ltd-london-3622449/#view=map,"33 Earlham St, London, WC2H 9LS",,4.1,14 Ratings
9,Monmouth Coffee Co.Ltd,Cafes and Coffee Shops,http://www.monmouthcoffee.co.uk,020 7232 3010 ,/biz/monmouth-coffee-co-ltd-london-2479519/#view=map,"27 Monmouth St, London, WC2H 9DD",,4.5,18 Ratings
10,Milk Bar,Cafes and Coffee Shops,http://www.milkbarsoho.co.uk,020 7287 4796 ,/biz/milk-bar-london-5337642/#view=map,"3 Bateman St, London, W1D 4AG",,4.0,6 Ratings
11,Tunnel Meal,Cafes and Coffee Shops,http://www.tunnelmeals.co.uk,020 7839 6116 ,/biz/tunnel-meal-london-6372030/#view=map,"12 The Arches Villiers St, London, WC2N 6NG",,5.0,3 Ratings
12,Fernandez & Wells,Cafes and Coffee Shops,http://www.fernandezandwells.com,020 7287 8124 ,/biz/fernandez-and-wells-london-5115063/#view=map,"73 Beak St, London, W1F 9SR",,4.7,9 Ratings
13,Pret a Manger,Cafes and Coffee Shops,https://www.pret.co.uk,020 7932 5248 ,/biz/pret-a-manger-london-3089295/#view=map,"25 Villiers St, London, WC2N 6ND",,5.0,1 Rating
14,The Breakfast Club,Cafes and Coffee Shops,http://www.thebreakfastclubcafes.com,020 7434 2571 ,/biz/the-breakfast-club-london-4203582/#view=map,"33 D'Arblay St, London, W1F 8EU",,3.9,13 Ratings
15,The Espresso Room,Cafes and Coffee Shops,http://www.theespressoroom.co.uk,020 3583 6949 ,/biz/the-espresso-room-london-8740256/#view=map,"24 New Row, Charing Cross, LONDON, WC2N 4LA",,5.0,2 Ratings
16,Costa,Cafes and Coffee Shops,http://www.costa.co.uk,,/biz/costa-london-8803905/#view=map,"22-24 Leicester Square, LONDON, WC2H 7JY",,5.0,1 Rating
17,Morris's Cafe,Cafes and Coffee Shops,,020 7734 6930 ,/biz/morris-s-cafe-london-477860/#view=map,"15b Clifford St, London, W1S 4JZ",,4.0,4 Ratings
18,Marie's Cafe,Cafes and Coffee Shops,,020 7928 1050 ,/biz/marie-s-cafe-london-324633/#view=map,"90 Lower Marsh, London, SE1 7AB",,4.5,4 Ratings
19,Starbucks Coffee Co (Uk) Ltd,Cafes and Coffee Shops,https://www.starbucks.co.uk,020 7240 5789 ,/biz/starbucks-coffee-co-uk-ltd-london-4896211/#view=map,"99 St. Martin's Lane, London, WC2N 4AZ",,4.0,1 Rating
20,Charles Dickens' Coffee House,Cafes and Coffee Shops,,020 7379 7727 ,/biz/charles-dickens-coffee-house-london-6977795/#view=map,"26 Wellington St, London, WC2E 7DD",,5.0,1 Rating
21,The Tea House,Tea and Coffee Specialist Shops,http://www.theteahouseltd.com,020 7240 7539 ,/biz/the-tea-house-london-9037909/#view=map,"15 Neal St, London, WC2H 9PU",,5.0,1 Rating
22,Cafe Eterno,Cafes and Coffee Shops,http://www.lcm.org.uk,020 7240 1599 ,/biz/cafe-eterno-london-2655705/#view=map,"34, Neal St, Covent Garden, London, WC2H 9PS",,5.0,1 Rating
23,Bar Bruno,Cafes and Coffee Shops,,020 7734 3750 ,/biz/bar-bruno-london-4880196/#view=map,"101 Wardour St, London, W1F 0UG",,5.0,1 Rating
24,Sweetzcity Ltd,Cafes and Coffee Shops,http://www.sweetzcity.co.uk,07983 240537 ,/biz/sweetzcity-ltd-london-10004422/#view=map,"71-75 Shelton Stt, London, WC2H 9JQ",,5.0,1 Rating
25,Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/77-78-st-martin's-lane,020 7932 5213 ,/biz/pret-a-manger-london-3739668/#view=map,"77-78 St Martin's Lane, London, WC2N 4AA",,4.0,2 Ratings
26,Whittard of Chelsea,Tea and Coffee Specialist Shops,http://www.whittard.co.uk,020 7287 2599 ,/biz/whittard-of-chelsea-london-8440332/#view=map,"43 Oxford St, London, W1D 2DY",,5.0,1 Rating
27,St James Kitchen,Cafes and Coffee Shops,,020 3583 7552 ,/biz/st-james-kitchen-london-8676185/#view=map,"36 St James's St, London, E17 7PF",,5.0,2 Ratings
28,Il Panino,Cafes and Coffee Shops,,020 7405 3825 ,/biz/il-panino-london-310012/#view=map,"21 Newton St, London, WC2B 5EL",,5.0,2 Ratings
29,Moosh Cafe,Cafes and Coffee Shops,,020 7386 8688 ,/biz/moosh-cafe-london-8000550/#view=map,"Kingly Street, Soho, LONDON, W1B 5PW",,5.0,2 Ratings
30,Victoria House,Cafes and Coffee Shops,http://www.victoriahouseco.com,07490 000079 ,/biz/victoria-house-london-9982626/#view=map,"5 Coptic St, London, WC1A 1NH",,5.0,1 Rating
31,Palm Court,Cafes and Coffee Shops,,020 7300 2345 ,/biz/palm-court-london-8320055/#view=map,"150 Piccadilly, St James's, LONDON, W1J 9BR",,5.0,1 Rating
32,Starbucks,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7495 8370 ,/biz/starbucks-london-9248167/#view=map,"22-23 Princes St, London, W1B 2LY",,5.0,1 Rating
33,Royal Quarter Cafe,Cafes and Coffee Shops,,,/biz/royal-quarter-cafe-london-8001123/#view=map,"72-73 Buckingham Gate, LONDON, SW1E 6AS",,5.0,1 Rating
34,Joe & The Juice,Cafes and Coffee Shops,http://www.joejuice.com/,,/biz/joe-and-the-juice-london-7940625/#view=map,"281 Regent Street, Mayfair, LONDON, W1B 2HF",,5.0,1 Rating
35,Greek Flavours,Food and Drink - Delivered,https://www.greekflavours.com,020 3445 5795 ,/biz/greek-flavours-london-9933064/#view=map,"Monomark House, 27, Old Gloucester St, London, WC1N 3AX",,5.0,1 Rating
36,Mustard Cafe,Cafes and Coffee Shops,,020 7629 0715 ,/biz/mustard-cafe-london-4942205/#view=map,"40 Margaret St, London, W1G 0JH",,5.0,2 Ratings
37,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7580 3885 ,/biz/caffe-nero-london-6552295/#view=map,"79 Tottenham Court Rd, London, W1T 4TB",,5.0,1 Rating
38,food hippo,Food and Drink - Delivered,http://www.one-delivery.co.uk,020 3633 8667 ,/biz/food-hippo-london-9772006/#view=map,"27 Old Gloucester St, London, WC1N 3AX",,5.0,1 Rating
39,Tinderbox Within Paperchase,Cafes and Coffee Shops,,0207467 6200 ,/biz/tinderbox-within-paperchase-london-9438212/#view=map,"213-215 Tottenham Court Road, London, W1T 7PS",,5.0,1 Rating
40,Kin,Cafes and Coffee Shops,http://kincafe.co.uk/,020 7998 4720 ,/biz/kin-london-8068090/#view=map,"22 Foley St, London, W1W 6DT",,5.0,1 Rating
41,Postcard Teas Ltd,Tea and Coffee Specialist Shops,http://www.postcardteas.com,020 7629 3654 ,/biz/postcard-teas-ltd-london-4211615/#view=map,"9 Dering St, London, W1S 1AG",,5.0,2 Ratings
42,X L N T,Cafes and Coffee Shops,,020 7976 9996 ,/biz/x-l-n-t-london-6133512/#view=map,"15 Greycoat Place, London, SW1P 1SB",,5.0,2 Ratings
43,Italia Uno,Cafes and Coffee Shops,,020 7637 5326 ,/biz/italia-uno-london-339892/#view=map,"91 Charlotte St, London, W1T 4PX",,5.0,1 Rating
44,Caffe Quattro,Cafes and Coffee Shops,,020 7261 0044 ,/biz/caffe-quattro-london-2795577/#view=map,"37 York Rd, London, SE1 7NJ",,4.5,2 Ratings
45,Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7404 4939 ,/biz/starbucks-coffee-co-uk-ltd-london-3069477/#view=map,"51 Great Russell St, London, WC1B 3BA",,4.0,2 Ratings
46,L'Amour Encore,Cafes and Coffee Shops,,07796 173984 ,/biz/l-amour-encore-london-6933909/#view=map,"1 Woodstock St, Mayfair, London, W1C 2AA",,5.0,1 Rating
47,Syrup of Soot Ltd,Cafes and Coffee Shops,http://www.syrupofsoot.com,020 7242 1022 ,/biz/syrup-of-soot-ltd-london-8631066/#view=map,"38 Museum St, London, WC1A 1LP",,4.0,1 Rating
48,Pure,Cafes and Coffee Shops,https://www.pure.co.uk/shops/goodgestreet/,020 7240 1555 ,/biz/pure-london-4459611/#view=map,"47 Goodge St, London, W1T 1TD",,4.0,2 Ratings
49,Cafe Mapa,Cafes and Coffee Shops,,020 7436 0011 ,/biz/cafe-mapa-london-8381211/#view=map,"20 Great Portland St, London, W1W 8QR",,4.0,1 Rating
50,Plenty,Cafes and Coffee Shops,http://www.plenty-cafe.co.uk,020 7637 2635 ,/biz/plenty-london-8186339/#view=map,"34 Berners Street, Marylebone, LONDON, W1T 3LT",,4.0,1 Rating
51,Bayleaf Cafe,Cafes and Coffee Shops,,020 7436 6844 ,/biz/bayleaf-cafe-london-5929275/#view=map,"19 Tottenham St, London, W1T 2AN",,4.0,1 Rating
52,Kaffeine Ltd,Cafes and Coffee Shops,http://www.kaffeine.co.uk,020 7580 6755 ,/biz/kaffeine-ltd-london-6253983/#view=map,"66 Great Titchfield St, London, W1W 7QJ",,4.7,3 Ratings
53,Espresso Bar,Cafes and Coffee Shops,,020 7747 2885 ,/biz/espresso-bar-london-10086226/#view=map,"Trafalgar Square, London, WC2N 5DN",,,
54,Starbucks Coffee Co (Uk) Ltd,Tea and Coffee Specialist Shops,https://www.starbucks.co.uk,020 7836 6850 ,/biz/starbucks-coffee-co-uk-ltd-london-3165800/#view=map,"442 Strand, London, WC2R 0QU",,,
55,Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7839 5675 ,/biz/costa-coffee-london-6885676/#view=map,"Grand Building Strand, London, WC2N 5EJ",,,
56,Whittard of Chelsea,Tea and Coffee Specialist Shops,http://www.whittard.co.uk,020 7379 6378 ,/biz/whittard-of-chelsea-london-4687226/#view=map,"435 The Strand, London, WC2R 0QN",,,
57,Pret a Manger,Cafes and Coffee Shops,https://www.pret.co.uk,020 7930 6222 ,/biz/pret-a-manger-london-10155270/#view=map,"7-8 St Martin's Place, London, WC2N 4HA",,,
58,Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7930 1017 ,/biz/costa-coffee-london-2769168/#view=map,"Unit 8 Station Concourse, Charing Cross Station, Strand, London, WC2N 5HS",,,
59,Cafe in the Crypt,Cafes and Coffee Shops,http://www.smitf.org,020 7766 1158 ,/biz/cafe-in-the-crypt-london-7255194/#view=map,"within St. Martin in the Fields, Duncannon St, London, WC2N 4JF",,,
60,Notes,Cafes and Coffee Shops,http://www.notes-uk.co.uk,020 7240 0424 ,/biz/notes-london-8530326/#view=map,"31 St Martin's Lane, London, WC2N 4ER",,,
61,W,Cafes and Coffee Shops,,020 7839 5675 ,/biz/w-london-10141778/#view=map,"43891 Strand, London, WC2N 5EJ",,,
62,Nero Express,Cafes and Coffee Shops,,0203272 0055 ,/biz/nero-express-london-9462153/#view=map,"Charing Cross Railway Station, The Strand, London, WC2N 5HS",,,
63,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7836 5110 ,/biz/caffe-nero-london-9744406/#view=map,"36a St Martins Lane, London, WC2N 4ER",,,
64,Bonapartes,Cafes and Coffee Shops,https://www.compass-group.com/,020 7930 9553 ,/biz/bonapartes-london-7257026/#view=map,"Charing Cross Station Strand, London, WC2N 5HS",,,
65,Espresso Bar,Cafes and Coffee Shops,,020 7747 2885 ,/biz/espresso-bar-london-7951957/#view=map,"Trafalgar Square, Charing Cross, LONDON, WC2N 5DN",,,
66,Cafe La Roche,Cafes and Coffee Shops,http://www.la-roche-london.co.uk,020 7240 8076 ,/biz/cafe-la-roche-london-10082807/#view=map,"39 St. Martin's Lane, London, WC2N 4ER",,,
67,The Theatre Cafe,Cafes and Coffee Shops,http://www.thetheatrecafe.co.uk,020 7851 0300 ,/biz/the-theatre-cafe-london-10141188/#view=map,"99 St. Martin's Lane, London, WC2N 4AS",,,
68,Caffe Concerto,Cafes and Coffee Shops,http://www.caffeconcerto.co.uk,020 7494 6844 ,/biz/caffe-concerto-london-8274047/#view=map,"5-6 Northumberland Avenue, Charing Cross, LONDON, WC2N 5BW",,,
69,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7930 7929 ,/biz/caffe-nero-london-9003347/#view=map,"60-61 Trafalgar Square, London, WC2N 5DS",,,
70,Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/1-whitehall,020 7932 5216 ,/biz/pret-a-manger-london-10171083/#view=map,"1 Whitehall, London, SW1A 2DD",,,
71,Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7930 0649 ,/biz/starbucks-coffee-co-uk-ltd-london-3571508/#view=map,"1-3 Villiers St, London, WC2N 6NN",,,
72,Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7930 0649 ,/biz/starbucks-coffee-co-uk-ltd-london-9248176/#view=map,"14 Villiers St, London, WC2N 6NQ",,,
73,Drury Tea & Coffee,Tea and Coffee Specialist Shops,http://www.drury.uk.com,020 7836 1960 ,/biz/drury-tea-and-coffee-london-2490114/#view=map,"3 New Row, London, WC2N 4LH",,,
74,Ella Mia,Cafes and Coffee Shops,,020 7300 5588 ,/biz/ella-mia-london-10134375/#view=map,"45a St. Martin's Lane, London, WC2N 4HX",,,
75,Tossed,Cafes and Coffee Shops,http://www.tosseduk.com,020 7836 3842 ,/biz/tossed-london-9453545/#view=map,"100 St Martins Lane, London, WC2N 4AZ",,,
76,La Roche Coffee Shop,Cafes and Coffee Shops,http://www.la-roche-london.co.uk,020 7240 3391 ,/biz/la-roche-coffee-shop-london-9311592/#view=map,"39 St. Martin's Lane, London, WC2N 4ER",,,
77,Wingfield Cafe,Cafes and Coffee Shops,,0208247 3142 ,/biz/wingfield-cafe-london-9462330/#view=map,"PO Box 98, London, SW19 5AE",,,
78,Eat,Cafes and Coffee Shops,http://www.eat.co.uk,0843 506 4040 ,/biz/eat-london-7242837/#view=map,"1st Floor Unit R31, London, W2 1HB",,,
79,Fresh Fruit Smoothies & Juices,Cafes and Coffee Shops,,,/biz/fresh-fruit-smoothies-and-juices-london-8740238/#view=map,"Villiers Street, Charing Cross, LONDON, WC2N 6NE",,,
80,Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7240 3423 ,/biz/costa-coffee-london-6936521/#view=map,"13 New Row, London, WC2N 4LF",,,
81,Pret a Manger,Cafes and Coffee Shops,https://www.pret.co.uk,020 7839 3995 ,/biz/pret-a-manger-london-10188758/#view=map,"5 Pall Mall East, London, SW1Y 5BA",,,
82,Eat Ltd,Cafes and Coffee Shops,http://www.eat.co.uk,0843 506 4040 ,/biz/eat-ltd-london-6772360/#view=map,"41-42 Bedford St, London, WC2E 9HA",,,
83,Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/62-65-trafalgar-square,020 7932 5350 ,/biz/pret-a-manger-london-5782352/#view=map,"62-65 Trafalgar Square, London, WC2N 5DS",,,
84,La Chandelle,Cafes and Coffee Shops,,020 7930 4727 ,/biz/la-chandelle-london-8321093/#view=map,"2-3 Irving Street, Chinatown, LONDON, WC2H 7AT",,1.0,2 Ratings
85,Coffee & Bake Ltd,Cafes and Coffee Shops,http://www.coffeeandbake.co.uk,020 7839 5129 ,/biz/coffee-and-bake-ltd-london-8777555/#view=map,"49 Villiers St, London, WC2N 6NE",,,
86,Pompidou,Cafes and Coffee Shops,,020 7839 6010 ,/biz/pompidou-london-454440/#view=map,"35-37, Villiers St, London, WC2N 6ND",,,
87,BB Afternoon Tea,Tea and Coffee Specialist Shops,http://www.b-bakery.com,020 7836 6588 ,/biz/bb-afternoon-tea-london-8845125/#view=map,"6-7 Chandos Place, London, WC2N 4HU",,,
88,Costa Coffee,Tea and Coffee Specialist Shops,http://www.costa.co.uk,020 7930 3014 ,/biz/costa-coffee-london-2730139/#view=map,"17 Embankment Place, London, WC2N 6NN",,,
89,Soho Coffee Company,Cafes and Coffee Shops,http://www.sohocoffee.co.uk,020 3358 6779 ,/biz/soho-coffee-company-london-9611532/#view=map,"41 Bedford Street, Covent Garden, LONDON, WC2E 9HA",,,
90,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7240 9399 ,/biz/caffe-nero-london-9253838/#view=map,"10 Bedford St, London, WC2E 7HE",,,
91,Blues & Royals,Cafes and Coffee Shops,,,/biz/blues-and-royals-london-9188167/#view=map,"Villiers Street, Charing Cross, LONDON, WC2N 6NE",,,
92,La Chandelle,Cafes and Coffee Shops,,02079 304727 ,/biz/la-chandelle-london-9405954/#view=map,"2-3 Irving Street, London, WC2H 7AT",,,
93,Stephano's,Cafes and Coffee Shops,,020 7930 4727 ,/biz/stephano-s-london-4709754/#view=map,"2-3 Irving St, London, WC2H 7AT",,,
94,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7836 6772 ,/biz/caffe-nero-london-8720882/#view=map,"32 Cranbourn St, London, WC2H 7AD",,,
95,Caffe Italiano,Cafes and Coffee Shops,,020 7930 4727 ,/biz/caffe-italiano-london-9612038/#view=map,"1 Irving Street, Chinatown, LONDON, WC2H 7AT",,,
96,Filli Europe Ltd,Cafes and Coffee Shops,,020 3982 3679 ,/biz/filli-europe-ltd-london-9914302/#view=map,"21 Charing Cross Rd, London, WC2H 0ET",,,
97,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7240 9399 ,/biz/caffe-nero-london-10077690/#view=map,"10a Bedford Street, London, WC2E 9HE",,,
98,Caffe Concerto,Cafes and Coffee Shops,https://www.caffeconcerto.co.uk,020 7494 6846 ,/biz/caffe-concerto-london-7572477/#view=map,"43 Whitehall, London, SW1A 2BX",,,
99,New Row Coffee,Cafes and Coffee Shops,http://www.newrowcoffee.co.uk,020 3583 6949 ,/biz/new-row-coffee-london-7029102/#view=map,"24 New Row, London, WC2N 4LA",,,
100,Eli's Espresso Bar,Cafes and Coffee Shops,,020 7240 7810 ,/biz/eli-s-espresso-bar-london-6174117/#view=map,"28 Bedfordbury, London, WC2N 4BJ",,,
101,Yaki Yaki,Cafes and Coffee Shops,http://yakiyaki.co.uk,,/biz/yaki-yaki-london-9792507/#view=map,"4 New Row, Charing Cross, LONDON, WC2N 4LH",,,
102,Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7494 2456 ,/biz/costa-coffee-london-9224058/#view=map,"Leicester Square Station, Charing Cross Rd, London, WC2H 0AP",,,
103,Soho Coffee Company,Cafes and Coffee Shops,http://www.sohocoffee.co.uk,020 8090 1333 ,/biz/soho-coffee-company-london-8815608/#view=map,"215 Strand, Charing Cross, LONDON, WC2R 1AP",,,
104,Coffee Island,Cafes and Coffee Shops,http://www.coffeeisland.co.uk,020 7836 3007 ,/biz/coffee-island-london-9073049/#view=map,"4b Upper St Martin's Lane, London, WC2H 9NY",,,
105,Costa,Cafes and Coffee Shops,http://www.costa.co.uk,,/biz/costa-london-8374391/#view=map,"39A Coventry Street, Chinatown, LONDON, W1D 6BZ",,,
106,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7240 3433 ,/biz/caffe-nero-london-9253837/#view=map,"29 Southampton St, London, WC2E 7JA",,,
107,Host,Cafes and Coffee Shops,http://www.hostcoffee.co.uk,,/biz/host-london-9029286/#view=map,"31 Henrietta Street, Covent Garden, LONDON, WC2E 8NA",,,
108,Coffee Club App Limited,Cafes and Coffee Shops,http://www.coffeeclub.cc,07977 042253 ,/biz/coffee-club-app-limited-london-9810792/#view=map,"42 Cranbourn St, London, WC2H 7AN",,,
109,Avobar,Cafes and Coffee Shops,http://www.avobar.co.uk,020 3701 6500 ,/biz/avobar-london-9606147/#view=map,"23-24 Henrietta Street, Covent Garden, LONDON, WC2E 8NA",,,
110,Arabica,Cafes and Coffee Shops,http://www.arabica.coffee,020 7379 9621 ,/biz/arabica-london-10131503/#view=map,"5 King Street, London, WC2E 8SD",,,
111,Madd Hatters,Cafes and Coffee Shops,http://www.lovemaddhatters.co.uk,020 7836 8463 ,/biz/madd-hatters-london-8185945/#view=map,"6-7 Great Newport Street, Chinatown, LONDON, WC2H 7JB",,,
112,Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7930 9596 ,/biz/costa-coffee-london-8089304/#view=map,"15 Regent St, London, SW1Y 4LR",,,
113,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7930 8483 ,/biz/caffe-nero-london-7849386/#view=map,"Unit 1, 65-72, The Strand, London, WC2N 5LR",,,
114,Mariage Freres,Tea and Coffee Specialist Shops,https://www.mariagefreres.com,020 7836 1854 ,/biz/mariage-freres-london-10137530/#view=map,"38 King Street, London, WC2E 8JT",,,
115,The East India Company,Tea and Coffee Specialist Shops,http://www.eicfinefoods.com/,020 3205 3394 ,/biz/the-east-india-company-london-8026375/#view=map,"140 Long Acre, Covent Garden, LONDON, WC2E 9AD",,,
116,Yunique,Cafes and Coffee Shops,,020 7287 6383 ,/biz/yunique-london-10142265/#view=map,"10 Little Newport Street, London, WC2H 7JJ",,,
117,Pret a Manger,Cafes and Coffee Shops,https://www.pret.co.uk,020 7932 5455 ,/biz/pret-a-manger-london-10188754/#view=map,"87-88 Strand, London, WC2R 0DW",,,
118,Laduree,Cafes and Coffee Shops,https://www.laduree.co.uk/238918/laduree-london-covent-garden.html,020 7240 0706 ,/biz/laduree-london-7051200/#view=map,"1 The Market, Covent Garden The Piazza, London, WC2E 8RA",,,
119,Ole & Steen,Cafes and Coffee Shops,https://oleandsteen.co.uk/?y_source=1_MTY5NTUzNDYtNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,020 3828 8242 ,/biz/ole-and-steen-london-10005868/#view=map,"St James 56 Haymarket, No 2 St James Market, London, SW1Y 4RP",,,
120,Cuppacha,Tea and Coffee Specialist Shops,http://www.cuppacha.com,020 7998 0313 ,/biz/cuppacha-london-7522522/#view=map,"23 Newport Court, London, WC2H 7JS",,,
