,name,short_description,website,phone,map_link,address,features,rating,reviews
121,Whittard of Chelsea plc,Tea and Coffee Specialist Shops,http://www.whittard.co.uk,020 7930 8013 ,/biz/whittard-of-chelsea-plc-london-5952120/#view=map,"13 Lower Regent St, London, SW1Y 4LR",,,
122,Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7240 2135 ,/biz/costa-coffee-london-9912073/#view=map,"37 Southampton St, London, WC2E 7HG",,,
123,Costa Pronto,Cafes and Coffee Shops,http://www.costa.co.uk,,/biz/costa-pronto-london-9032136/#view=map,"Cranbourn Street, Chinatown, LONDON, WC2H 7AG",,,
124,The Borough Barista Ltd,Cafes and Coffee Shops,http://www.theboroughbarista.com,020 3272 0222 ,/biz/the-borough-barista-ltd-london-7530333/#view=map,"15 Charles Ii St, London, SW1Y 4QU",,,
125,Caffe Vergnano 1882,Cafes and Coffee Shops,http://www.caffevergnano1882.co.uk,020 7240 3512 ,/biz/caffe-vergnano-1882-london-8724536/#view=map,"62 Charing Cross Rd, London, WC2H 0BU",,,
126,Happy Lemon Plus,Cafes and Coffee Shops,http://www.happy-lemon.co.uk,020 7734 1966 ,/biz/happy-lemon-plus-london-8271838/#view=map,"24A Newport Court, Chinatown, LONDON, WC2H 7JS",,,
127,The River Terrace,Cafes and Coffee Shops,http://www.somersethouse.org.uk,020 7845 4646 ,/biz/the-river-terrace-london-8267063/#view=map,"150 Strand, Charing Cross, LONDON, WC2R 0RN",,,
128,The River Terrace,Cafes and Coffee Shops,http://www.somersethouse.org.uk,020 7845 4646 ,/biz/the-river-terrace-london-7924598/#view=map,"150 Strand, Charing Cross, LONDON, WC2R 1JA",,,
129,Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/39-coventry-street,020 3272 0090 ,/biz/pret-a-manger-london-9900494/#view=map,"39 Coventry St, London, W1D 6BZ",,,
130,Department of Coffee & Social Affairs,Cafes and Coffee Shops,http://departmentofcoffee.com,,/biz/department-of-coffee-and-social-affairs-london-8893258/#view=map,"6-7 Great Newport Street, Chinatown, LONDON, WC2H 7JB",,,
131,Costa,Cafes and Coffee Shops,http://www.costa.co.uk,020 7240 2135 ,/biz/costa-london-9129106/#view=map,"37 Southampton Street, Covent Garden, LONDON, WC2E 7HG",,,
132,Embankment Cafe,Cafes and Coffee Shops,,020 7930 1471 ,/biz/embankment-cafe-london-10077301/#view=map,"25 Victoria Embankment, London, WC2R 2PN",,,
133,TWG Tea,Tea and Coffee Specialist Shops,http://www.twgtea.com,020 7972 0202 ,/biz/twg-tea-london-9187824/#view=map,"5 Swiss Court, LONDON, W1D 6AP",,,
134,Morelli's Gelato,Cafes and Coffee Shops,,020 3602 0540 ,/biz/morelli-s-gelato-london-8273260/#view=map,"Covent Garden, LONDON, WC2E 8BE",,,
135,Timber Yard,Cafes and Coffee Shops,http://www.timberyardlondon.com,020 3217 2009 ,/biz/timber-yard-london-8186326/#view=map,"7 Upper St Martins Lane, Covent Garden, LONDON, WC2H 9NY",,,
136,Hotel Chocolat,Cafes and Coffee Shops,https://www.hotelchocolat.com/uk,020 7836 3349 ,/biz/hotel-chocolat-london-8699599/#view=map,"10 The Market The Piazza, London, WC2E 8RB",,,
137,Hotel Chocolat Cafe,Cafes and Coffee Shops,https://www.hotelchocolat.com/,020 7836 3349 ,/biz/hotel-chocolat-cafe-london-10121692/#view=map,"Covent Garden, London, WC2E 8RB",,,
138,Department of Coffee & Social Affairs,Cafes and Coffee Shops,http://departmentofcoffee.com,,/biz/department-of-coffee-and-social-affairs-london-8273550/#view=map,"19 Slingsby Place, Covent Garden, LONDON, WC2E 9AB",,3.0,2 Ratings
139,The Arts Cafe,Cafes and Coffee Shops,http://www.artstheatrewestend.co.uk,020 7836 8463 ,/biz/the-arts-cafe-london-9189714/#view=map,"6-7 Great Newport Street, Chinatown, LONDON, WC2H 7JB",,,
140,Viet Cafe,Cafes and Coffee Shops,,0207839 3246 ,/biz/viet-cafe-london-9437554/#view=map,"23 Haymarket, London, SW1Y 4DG",,,
141,Cupcake Stories,Cafes and Coffee Shops,http://www.sweetheartcupcakes.co.uk,020 7240 5039 ,/biz/cupcake-stories-london-8779763/#view=map,"34 The Market The Piazza, London, WC2E 8RE",,,
142,Melba,Cafes and Coffee Shops,http://www.fairmont.com/savoy-london/dining/melba,020 7836 4343 ,/biz/melba-london-8453922/#view=map,"100 Strand, London, WC2R 0EW",,,
143,Abuelo,Cafes and Coffee Shops,http://www.abuelocafe.co.uk,020 7836 8476 ,/biz/abuelo-london-9187355/#view=map,"26 Southampton Street, Covent Garden, LONDON, WC2E 7JA",,,
144,Woo Tea,Cafes and Coffee Shops,,020 7434 2028 ,/biz/woo-tea-london-10128811/#view=map,"26 Wardour Street, London, W1D 6QL",,,
145,Urban Tea Rooms,Cafes and Coffee Shops,http://www.urbantearooms.com,020 7321 0605 ,/biz/urban-tea-rooms-london-8897551/#view=map,"2A St James's Market, LONDON, SW1Y 4AH",,,
146,Creme De La Crepe,Cafes and Coffee Shops,http://www.cremedelacrepe.co.uk,020 7836 6896 ,/biz/creme-de-la-crepe-london-6101935/#view=map,"Unit 29 The Market The Piazza, London, WC2E 8RE",,,
147,The Covent Garden Kafeneo,Cafes and Coffee Shops,http://www.kafeneo.co.uk,020 7240 8577 ,/biz/the-covent-garden-kafeneo-london-5962948/#view=map,"12-14, Tavistock St, London, WC2E 7PH",,,
148,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7930 9901 ,/biz/caffe-nero-london-6552288/#view=map,"27 Haymarket, London, SW1Y 4EN",,,
149,Absolutely Fad Cafe,Cafes and Coffee Shops,,020 7930 5394 ,/biz/absolutely-fad-cafe-london-3103261/#view=map,"32 Coventry St, London, W1D 6BR",,,
150,Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7836 6231 ,/biz/starbucks-coffee-co-uk-ltd-london-2699289/#view=map,"10 Russell St, London, WC2B 5HZ",,,
151,Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/retail-unit-2,020 7932 5309 ,/biz/pret-a-manger-london-9568689/#view=map,"Retail Unit 2 2 Regent St, London, SW1Y 4PE",,,
152,Yi Fang,Cafes and Coffee Shops,http://www.yifangtea.co.uk,020 7078 4214 ,/biz/yi-fang-london-10128921/#view=map,"104 Shaftesbury Avenue, London, W1D 5EG",,,
153,Wright's,Cafes and Coffee Shops,http://www.wrightsoflondon.co.uk,020 7976 1630 ,/biz/wright-s-london-9036351/#view=map,"15A Pall Mall, Charing Cross, LONDON, SW1Y 5LU",,,
154,Picccadillly Coffee & Meeting House,Cafes and Coffee Shops,,020 7800 0000 ,/biz/picccadillly-coffee-and-meeting-house-london-7919397/#view=map,"Piccadilly Circus, Haymarket, LONDON, W1J 0DA",,,
155,The Meat Market,Cafes and Coffee Shops,,0207240 4852 ,/biz/the-meat-market-london-9457341/#view=map,"Unit 1a The Deck Jubilee Market Hall, The Piazza, London, WC2E 8BE",,,
156,Prima Sapori Italia,Cafes and Coffee Shops,http://primacoventgarden.com,020 7836 5448 ,/biz/prima-sapori-italia-london-5359779/#view=map,"1 Tavistock St Jubilee Market, The Piazza, London, WC2E 8BE",,,
157,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7240 8918 ,/biz/caffe-nero-london-9253839/#view=map,"30 Monmouth St, London, WC2H 9HA",,,
158,The Coffee Tree London Ltd ,Tea and Coffee Specialist Shops,,020 7240 5536 ,/biz/the-coffee-tree-london-ltd-london-7830978/#view=map,"222 Shaftesbury Avenue, London, WC2H 8EB",,,
159,Soho Coffee Company,Cafes and Coffee Shops,http://www.sohocoffee.co.uk,020 3358 6774 ,/biz/soho-coffee-company-london-9031903/#view=map,"138-139 Strand, LONDON, WC2R 1QA",,,
160,Urban Tea Rooms Ltd,Cafes and Coffee Shops,,0207321 0605 ,/biz/urban-tea-rooms-ltd-london-9317454/#view=map,"2 St James's Market, London, SW1Y 4SB",,,
161,Woo Tea,Cafes and Coffee Shops,,,/biz/woo-tea-london-9787965/#view=map,"26 Wardour Street, Chinatown, LONDON, W1D 6QL",,,
162,Venchi,Cafes and Coffee Shops,,0203632 1668 ,/biz/venchi-london-9456613/#view=map,"18 Covent Garden Market, Covent Garden, London, WC2E 8RB",,,
163,Simit Sarayi,Cafes and Coffee Shops,http://www.simitsarayi.com,020 7734 4302 ,/biz/simit-sarayi-london-8457818/#view=map,"The London Pavilion, 1, Piccadilly, London, W1J 0DA",,,
164,Fabrique,Cafes and Coffee Shops,http://fabrique.co.uk/,020 7240 1392 ,/biz/fabrique-london-8369464/#view=map,"8 Earlham St, London, WC2H 9RY",,,
165,Coco,Cafes and Coffee Shops,http://www.coco-tea.com,020 7831 3945 ,/biz/coco-london-8897289/#view=map,"52 Dean Street, Chinatown, LONDON, W1D 5BL",,,
166,Flocafe,Cafes and Coffee Shops,http://www.flocafe.gr,020 7734 3559 ,/biz/flocafe-london-10134779/#view=map,"83 Shaftesbury Avenue, London, W1D 5DX",,,
167,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7287 0971 ,/biz/caffe-nero-london-8592994/#view=map,"97-99 Charing Cross Rd, London, WC2H 0DP",,,
168,Candy Cafe,Cafes and Coffee Shops,http://www.candycafe.co.uk,020 7439 8507 ,/biz/candy-cafe-london-8988700/#view=map,"3 Macclesfield St, London, W1D 6AU",,,
169,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7836 6346 ,/biz/caffe-nero-london-9253836/#view=map,"2 Lancaster Place, London, WC2E 7EA",,,
170,Notes,Cafes and Coffee Shops,http://www.notes-uk.squarespace.com/,020 7240 7899 ,/biz/notes-london-7897931/#view=map,"36 Wellington Street, Covent Garden, LONDON, WC2E 7BD",,,
171,Cafe El Buen Gusto,Cafes and Coffee Shops,,020 7159 4440 ,/biz/cafe-el-buen-gusto-london-7953013/#view=map,"39 Frith Street, Chinatown, LONDON, W1D 5LL",,,
172,Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/35-frith-street,020 7287 6729 ,/biz/pret-a-manger-london-9004696/#view=map,"35 Frith St, London, W1D 5LQ",,,
173,Cafe Chutney,Cafes and Coffee Shops,http://www.cafechutney.co.uk,07956 910444 ,/biz/cafe-chutney-london-7255870/#view=map,"34 The Market, The Piazza, London, WC2E 8RE",,,
174,Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7836 5951 ,/biz/costa-coffee-london-9249560/#view=map,"39 Shelton St, London, WC2H 9HJ",,,
175,Benugo Cafe,Cafes and Coffee Shops,http://www.benugo.com,020 7836 9773 ,/biz/benugo-cafe-london-9003278/#view=map,"63 Long Acre, London, WC2E 9JN",,,
176,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7434 3887 ,/biz/caffe-nero-london-6552293/#view=map,"43 Frith St, London, W1D 4SA",,,
177,Cafe De Nata,Cafes and Coffee Shops,http://www.cafedenata.com,020 7734 1279 ,/biz/cafe-de-nata-london-9678748/#view=map,"25 Old Compton St, London, W1D 5JN",,,
178,Ocraquelin Patisserie,Cafes and Coffee Shops,,07401 983475 ,/biz/ocraquelin-patisserie-london-10138491/#view=map,"42 Tavistock Street, London, WC2E 7PB",,,
179,Z Cafe,Cafes and Coffee Shops,http://www.thezhotels.com,020 3551 3701 ,/biz/z-cafe-london-7376944/#view=map,"14 Moor St, London, W1D 5AP",,,
180,Yi Fang,Cafes and Coffee Shops,http://www.yifangtea.co.uk,020 7078 4214 ,/biz/yi-fang-london-10114493/#view=map,"13 Moor Street, London, W1D 5NH",,,
181,Gelatorino Ltd,Cafes and Coffee Shops,http://www.gelatorino.com,020 7240 0746 ,/biz/gelatorino-ltd-london-7020214/#view=map,"2 Russell St, London, WC2B 5JD",,,
182,Mont Ruby Tea,Cafes and Coffee Shops,,020 7437 0439 ,/biz/mont-ruby-tea-london-9234744/#view=map,"100 Shaftesbury Avenue, London, W1D 5EE",,,
183,Yolo,Cafes and Coffee Shops,,07912 349609 ,/biz/yolo-london-9788977/#view=map,"1 Tower Street, Covent Garden, LONDON, WC2H 9NP",,,
184,Pure,Cafes and Coffee Shops,https://www.pure.co.uk/shops/shaftesbury-ave/,020 7240 1555 ,/biz/pure-london-9263386/#view=map,"151 Shaftesbury Avenue, London, WC2H 8AL",,,
185,Chatime,Tea and Coffee Specialist Shops,http://www.chatimeuk.com,07985 554309 ,/biz/chatime-london-8729559/#view=map,"11 Old Compton St, London, W1D 5JF",,,
186,Double Shot,Cafes and Coffee Shops,,020 7240 9742 ,/biz/double-shot-london-7932656/#view=map,"38A Tavistock Street, Covent Garden, LONDON, WC2E 7PB",,,
187,Biju Bubble Tea,Tea and Coffee Specialist Shops,http://www.bijububbletea.com,020 7287 4040 ,/biz/biju-bubble-tea-london-8439998/#view=map,"45 Old Compton St, London, W1D 6HQ",,,
188,Milan,Cafes and Coffee Shops,http://www.milanoleicestersquare.com,020 7434 3633 ,/biz/milan-london-6238304/#view=map,"123 Shaftesbury Avenue, London, WC2H 8AD",,,
189,Nordic Bakery,Cafes and Coffee Shops,http://www.nordicbakery.com,020 7836 4996 ,/biz/nordic-bakery-london-8868552/#view=map,"55 Neal St, London, WC2H 9PJ",,,
190,Tsujiri,Cafes and Coffee Shops,http://www.tsujiri.co.uk,07445 521929 ,/biz/tsujiri-london-9073132/#view=map,"47 Rupert St, London, W1D 7PD",,,
191,Joe & The Juice,Cafes and Coffee Shops,http://www.joejuice.com/,,/biz/joe-and-the-juice-london-7960193/#view=map,"46 Dean Street, Soho, LONDON, W1D 4QD",,,
192,Bubbleology Ltd,Tea and Coffee Specialist Shops,http://www.bubbleology.co.uk,020 7494 4231 ,/biz/bubbleology-ltd-london-7020133/#view=map,"49 Rupert St, London, W1D 7PF",,,
193,Teatulia UK Ltd,Tea and Coffee Specialist Shops,http://www.teatulia.co.uk,020 7379 9444 ,/biz/teatulia-uk-ltd-london-9913548/#view=map,"36 Neal St, London, WC2H 9PS",,,
194,Share Tea,Cafes and Coffee Shops,,020 7734 9097 ,/biz/share-tea-london-8272161/#view=map,"65 Shaftesbury Avenue, Chinatown, LONDON, W1D 6LH",,,
195,Machi Machi,Cafes and Coffee Shops,,,/biz/machi-machi-london-9787964/#view=map,"59 Shaftesbury Avenue, Chinatown, LONDON, W1D 6LF",,,
196,Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7287 1956 ,/biz/starbucks-coffee-co-uk-ltd-london-4709737/#view=map,"60-66 Wardour St, London, W1F 0TA",,,
197,26 Grains,Cafes and Coffee Shops,http://www.26grains.com,,/biz/26-grains-london-8740266/#view=map,"1 Neal's Yard, Covent Garden, LONDON, WC2H 9DP",,,
198,Jacob The Angel,Cafes and Coffee Shops,http://www.jacobtheangel.co.uk,,/biz/jacob-the-angel-london-9028781/#view=map,"16A Neal's Yard, Covent Garden, LONDON, WC2H 9DP",,,
199,St James Cafe,Cafes and Coffee Shops,,020 7930 1420 ,/biz/st-james-cafe-london-4894427/#view=map,"41 Pall Mall, London, SW1Y 5JG",,,
200,Caffe Concerto Ltd,Cafes and Coffee Shops,http://www.caffeconcerto.co.uk,020 7494 6844 ,/biz/caffe-concerto-ltd-london-7539262/#view=map,"29-31 Piccadilly, London, W1J 0LF",,,
201,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7520 5150 ,/biz/caffe-nero-london-7809846/#view=map,"Customer Services, 9-15, Neal St, London, WC2H 9PW",,,
202,Costa Coffee,Tea and Coffee Specialist Shops,http://www.costa.co.uk,020 7734 8780 ,/biz/costa-coffee-london-8465662/#view=map,"200 Piccadilly, London, W1J 9HU",,,
203,Cafe W,Cafes and Coffee Shops,https://www.waterstones.com,020 7851 2400 ,/biz/cafe-w-london-10082841/#view=map,"203-205 Piccadilly, London, W1J 9HD",,,
204,Pride Kitchen,Cafes and Coffee Shops,http://www.pride.kitchen,020 7836 2779 ,/biz/pride-kitchen-london-9034156/#view=map,"2B Neal's Yard, Covent Garden, LONDON, WC2H 9DP",,,
205,Cakes & Bubbles,Cafes and Coffee Shops,http://hotelcaferoyal.com,020 7406 3310 ,/biz/cakes-and-bubbles-london-10118355/#view=map,"68a Regent Street, London, W1B 5RJ",,,
206,My Cup of Tea,Cafes and Coffee Shops,http://www.mycupoftea.co.uk,020 7287 2255 ,/biz/my-cup-of-tea-london-8954984/#view=map,"Unit 5 Denman Place, London, W1D 7HH",,,
207,Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/37-shelton-street,020 7932 5466 ,/biz/pret-a-manger-london-10171211/#view=map,"37 Shelton St, London, WC2H 9HN",,,
208,Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/120-125-strand,020 7240 2689 ,/biz/pret-a-manger-london-10192030/#view=map,"120-125 Strand, London, WC2R 0AP",,,
209,Pocha London,Tea and Coffee Specialist Shops,http://pochalab.co.uk?utm_source=yell&utm_medium=referral&utm_campaign=yell,07543 780185 ,/biz/pocha-london-london-9285677/#view=map,"52 Rupert St, London, W1D 6DS",,,
210,BIG BITE Convenience Store (24 Hour),Cafes and Coffee Shops,,020 7434 4498 ,/biz/big-bite-convenience-store-24-hour-london-901721164/#view=map,"52 Wardour Street, LONDON, W1D 6QU",,,
211,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7836 6874 ,/biz/caffe-nero-london-7849359/#view=map,"83 84 Long Acre, London, WC2E 9NG",,,
212,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7434 9339 ,/biz/caffe-nero-london-6552294/#view=map,"26-28 Piccadilly, London, W1J 0DJ",,,
213,Damson & Company,Cafes and Coffee Shops,,,/biz/damson-and-company-london-7999681/#view=map,"21 Brewer Street, Soho, LONDON, W1F 0RL",,,
214,Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/65-long-acre,020 7932 5324 ,/biz/pret-a-manger-london-10058166/#view=map,"65 Long Acre, London, WC2E 9JD",,,
215,Patisserie Valerie,Cafes and Coffee Shops,http://www.patisserie-valerie.co.uk,020 7240 5592 ,/biz/patisserie-valerie-london-6101910/#view=map,"80 Long Acre, London, WC2E 9NG",,3.0,1 Rating
216,The Proper Coffee Co,Tea and Coffee Specialist Shops,https://propercoffeeco.com?utm_source=yell&utm_medium=referral&utm_campaign=yell,0333 050 9014 ,/biz/the-proper-coffee-co-london-9895528/#view=map,"1st floor, No. 34, Great Queen St, London, WC2B 5AA",,,
217,Whittard of Chelsea,Tea and Coffee Specialist Shops,http://www.whittard.co.uk,020 7437 4175 ,/biz/whittard-of-chelsea-london-5676106/#view=map,"67 Regent St, London, W1B 4DZ",,,
218,Amorino,Cafes and Coffee Shops,http://www.amorino.com,020 7494 3300 ,/biz/amorino-london-9383818/#view=map,"41 Old Compton St, London, W1D 6HF",,,
219,Kahve Dunyasi,Cafes and Coffee Shops,http://www.kahvedunyasi.co.uk,020 7287 9063 ,/biz/kahve-dunyasi-london-8089116/#view=map,"Unit 3, 200 Piccadilly, London, W1J 9HU",,,
220,Greggs,Cafes and Coffee Shops,https://www.greggs.co.uk,020 7240 5396 ,/biz/greggs-london-3431981/#view=map,"143 The Strand, Westminster, London, WC2R 1JA",,,
221,Bourbon Coffee,Cafes and Coffee Shops,http://www.bourboncoffeeuk.com,020 7287 4849 ,/biz/bourbon-coffee-london-7208576/#view=map,"103 Charing Cross Rd, London, WC2H 0DT",,,
222,Monmouth Coffee Co,Tea and Coffee Specialist Shops,http://www.monmouthcoffee.co.uk,020 7379 3516 ,/biz/monmouth-coffee-co-london-6757055/#view=map,"27 Monmouth St, London, WC2H 9EU",,,
223,Lick,Cafes and Coffee Shops,http://www.lick-gelato.com,020 8617 0042 ,/biz/lick-london-6883587/#view=map,"55 Greek St, London, W1D 3DT",,,
224,H2c Gelati Ltd,Cafes and Coffee Shops,http://www.amorino.com,020 7494 3300 ,/biz/h2c-gelati-ltd-london-6266500/#view=map,"41 Old Compton St, London, W1D 6HF",,,
225,Fornus,Cafes and Coffee Shops,,020 3648 5876 ,/biz/fornus-london-10160692/#view=map,"55 Frith Street, London, W1D 4SJ",,,
226,Kissaten,Cafes and Coffee Shops,http://www.kissaten.co.uk,020 3976 2045 ,/biz/kissaten-london-10136680/#view=map,"30 Brewer Street, London, W1F 0SS",,,
227,Caffe Concerto,Cafes and Coffee Shops,http://www.caffeconcerto.co.uk?utm_source=yell&utm_medium=refferal&utm_campaign=yell,020 7494 6842 ,/biz/caffe-concerto-london-6952030/#view=map,"79-81 Regent St, London, W1B 4EG",,,
228,Lundenwic,Cafes and Coffee Shops,http://www.lundenwic.com,,/biz/lundenwic-london-8372372/#view=map,"45 Aldwych, Charing Cross, LONDON, WC2B 4DW",,,
229,I Love Nata,Tea and Coffee Specialist Shops,http://www.ilovenata.co.uk,020 7836 7049 ,/biz/i-love-nata-london-8381443/#view=map,"61 Endell St, London, WC2H 9AJ",,,
230,Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/3-duke-of-york,020 7839 6390 ,/biz/pret-a-manger-london-10171093/#view=map,"3 Duke of York, London, SW1Y 6JP",,,
231,Hideaway Coffee,Cafes and Coffee Shops,,,/biz/hideaway-coffee-london-9612029/#view=map,"7 Smiths Court, Haymarket, LONDON, W1D 7DW",,,
232,Vegan Hippo,Cafes and Coffee Shops,,020 7734 8574 ,/biz/vegan-hippo-london-8425304/#view=map,"52 Rupert Street, Chinatown, LONDON, W1D 6DS",,,
233,Costa,Cafes and Coffee Shops,https://www.costa.co.uk,020 7379 5448 ,/biz/costa-london-10098659/#view=map,"44144 Kingsway, London, WC2B 6AN",,,
234,Poetry Cafe,Cafes and Coffee Shops,http://www.poetrysociety.org.uk,020 7420 9888 ,/biz/poetry-cafe-london-4903407/#view=map,"22 Betterton St, London, WC2H 9BX",,3.5,4 Ratings
235,Saladpride,Cafes and Coffee Shops,http://www.pride.kitchen,020 7836 2779 ,/biz/saladpride-london-8729602/#view=map,"2 Neal's Yard, London, WC2H 9DP",,,
236,Redbush Tea Co.Ltd,Tea and Coffee Specialist Shops,http://www.redbushtea.com,0845 601 2658 ,/biz/redbush-tea-co-ltd-london-5929809/#view=map,"90 Long Acre, London, WC2E 9RA",,,
237,Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/93-95-wardour-st,020 7932 5261 ,/biz/pret-a-manger-london-3089276/#view=map,"95-95 Wardour St Soho, London, W1F 0UE",,,
238,Starbucks Coffee Co (Uk) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7287 7536 ,/biz/starbucks-coffee-co-uk-ltd-london-4738597/#view=map,"129-133 Charing Cross Rd, London, WC2H 0EW",,,
239,Bibi's Kitchen,Cafes and Coffee Shops,,,/biz/bibi-s-kitchen-london-9795036/#view=map,"5 Smiths Court, Haymarket, LONDON, W1D 7DW",,,
240,Fresh & Organic Cafe,Cafes and Coffee Shops,http://www.freshandorganic.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 7404 5153 ,/biz/fresh-and-organic-cafe-london-9321384/#view=map,"174 Drury Lane, London, WC2B 5QF",,,
241,Costa Pronto,Cafes and Coffee Shops,https://www.costa.co.uk,020 7321 2315 ,/biz/costa-pronto-london-10105372/#view=map,"Bridge Street, London, SW1A 2JR",,,
242,Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7240 2471 ,/biz/caffe-nero-london-9978202/#view=map,"7b Kingsway, London, WC2B 6XG",,,
243,Franx Snack Bar,Cafes and Coffee Shops,,020 7836 7989 ,/biz/franx-snack-bar-london-7510907/#view=map,"192 Shaftesbury Avenue, London, WC2H 8JL",,,
244,The Manette,Cafes and Coffee Shops,,020 7287 0456 ,/biz/the-manette-london-10137485/#view=map,"16 Manette Street, London, W1D 4AR",,,
245,Cakes & Bubbles,Cafes and Coffee Shops,http://hotelcaferoyal.com,020 7406 3310 ,/biz/cakes-and-bubbles-london-9785204/#view=map,"68A Regent Street, Soho, LONDON, W1B 5RJ",,,
246,My Cup of Tea Ltd,Tea and Coffee Specialist Shops,http://www.mycupoftea.co.uk,020 7836 3000 ,/biz/my-cup-of-tea-ltd-london-8730773/#view=map,"27 Shorts Gardens, London, WC2H 9AP",,,
247,Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7379 5448 ,/biz/costa-coffee-london-8089305/#view=map,"9-11 Kingsway, West End, London, WC2B 6UN",,,
248,Flat White,Cafes and Coffee Shops,http://www.flat-white.co.uk,020 7734 0370 ,/biz/flat-white-london-7847069/#view=map,"17 Berwick St, London, W1F 0PT",,,
249,Beany,Cafes and Coffee Shops,http://www.daisygreenfood.com/,,/biz/beany-london-8891332/#view=map,"Belvedere Road, LONDON, SE1 8XX",,,
